	primerid	Pr(>Chisq)	coef	ci.hi	ci.lo	fdr	gene	log2fc	pval	mean	score
GKAP1	GKAP1	0.0	1.0318755811281601	1.05064645617396	1.01310470608235	0.0	GKAP1	1.0318755811281601	5e-324	0.8157469	1074.0
RAMP1	RAMP1	0.0	0.715788524388515	0.735703834720697	0.695873214056333	0.0	RAMP1	0.715788524388515	5e-324	0.38888338	1074.0
HES6	HES6	0.0	0.7639324315184001	0.7839803095113701	0.7438845535254301	0.0	HES6	0.7639324315184001	5e-324	2.803822	1074.0
HLA-E	HLA-E	0.0	0.6372610258776391	0.656573298374058	0.617948753381219	0.0	HLA-E	0.6372610258776391	5e-324	1.0660311	1074.0
RRBP1	RRBP1	0.0	0.698157423644936	0.7155307279076489	0.6807841193822239	0.0	RRBP1	0.698157423644936	5e-324	0.7639139	1074.0
HSPA1A	HSPA1A	0.0	0.6386382082783699	0.6728026713725521	0.604473745184189	0.0	HSPA1A	0.6386382082783699	5e-324	2.2711163	1074.0
RGS10	RGS10	0.0	0.821648199643033	0.837334377938984	0.805962021347082	0.0	RGS10	0.821648199643033	5e-324	0.36844593	1074.0
ID3	ID3	0.0	0.7089830791348181	0.72973227444224	0.688233883827395	0.0	ID3	0.7089830791348181	5e-324	0.9620113	1074.0
RCN1	RCN1	0.0	0.9331035500960458	0.949944843231913	0.916262256960179	0.0	RCN1	0.9331035500960458	5e-324	1.0105609	1074.0
IGFBP2	IGFBP2	0.0	0.633730598118845	0.660835798776788	0.6066253974609019	0.0	IGFBP2	0.633730598118845	5e-324	3.1081913	1074.0
PPP1R17	PPP1R17	0.0	0.661267769680873	0.679557389030563	0.642978150331183	0.0	PPP1R17	0.661267769680873	5e-324	0.28137964	1074.0
OLFM1	OLFM1	0.0	0.662606405701785	0.6767628923182241	0.6484499190853471	0.0	OLFM1	0.662606405701785	5e-324	0.55528164	1074.0
ADCYAP1	ADCYAP1	0.0	0.7649402207724549	0.7839551846359331	0.745925256908978	0.0	ADCYAP1	0.7649402207724549	5e-324	0.71642125	1074.0
MFAP4	MFAP4	0.0	0.812165803775353	0.8298307733176898	0.7945008342330159	0.0	MFAP4	0.812165803775353	5e-324	0.3508425	1074.0
POMC	POMC	0.0	0.648071075604472	0.6694534166257691	0.626688734583175	0.0	POMC	0.648071075604472	5e-324	0.714639	1074.0
PKIB	PKIB	0.0	0.7490777337682009	0.7712163274306971	0.7269391401057049	0.0	PKIB	0.7490777337682009	5e-324	0.80166936	1074.0
PGF	PGF	0.0	0.829155750953009	0.8479326328447759	0.810378869061241	0.0	PGF	0.829155750953009	5e-324	0.6626257	1074.0
MYO6	MYO6	0.0	0.704681148686845	0.723459920024593	0.685902377349097	0.0	MYO6	0.704681148686845	5e-324	0.7496509	1074.0
NEUROD1	NEUROD1	0.0	1.23569388172602	1.25616698752205	1.21522077592999	0.0	NEUROD1	1.23569388172602	5e-324	0.6491119	1074.0
