	primerid	Pr(>Chisq)	coef	ci.hi	ci.lo	fdr	gene	log2fc	pval	mean	score
ABRACL	ABRACL	0.0	0.5979688351381469	0.627006443772714	0.5689312265035811	0.0	ABRACL	0.5979688351381469	1e-323	0.6749618	1073.0
ST13	ST13	0.0	0.712007656185128	0.7366592134951171	0.6873560988751378	0.0	ST13	0.712007656185128	1e-323	1.7379336	1073.0
IFI6	IFI6	0.0	1.65519251365299	1.7024988270556203	1.6078862002503502	0.0	IFI6	1.65519251365299	1e-323	0.95910424	1073.0
IFITM3	IFITM3	0.0	1.8269595646456298	1.86895166590841	1.78496746338286	0.0	IFITM3	1.8269595646456298	1e-323	0.7315283	1073.0
SNHG19	SNHG19	0.0	0.770031402822908	0.7984067783857579	0.7416560272600571	0.0	SNHG19	0.770031402822908	1e-323	0.7169453	1073.0
SNHG15	SNHG15	0.0	0.6668687228110911	0.694580600050129	0.639156845572052	0.0	SNHG15	0.6668687228110911	1e-323	0.5320965	1073.0
IMP4	IMP4	0.0	1.3106929900634499	1.33775029638019	1.2836356837467	0.0	IMP4	1.3106929900634499	1e-323	0.5833605	1073.0
SMARCC1	SMARCC1	0.0	0.895179133956252	0.9234574008426529	0.866900867069851	0.0	SMARCC1	0.895179133956252	1e-323	0.7588282	1073.0
IRX2	IRX2	0.0	1.3388881019591201	1.37661792830545	1.30115827561278	0.0	IRX2	1.3388881019591201	1e-323	1.0480293	1073.0
ITPA	ITPA	0.0	0.662424323312727	0.689745870031246	0.635102776594208	0.0	ITPA	0.662424323312727	1e-323	0.6251264	1073.0
JUND	JUND	0.0	0.8481675846374279	0.8836569918539939	0.812678177420861	0.0	JUND	0.8481675846374279	1e-323	2.4603798	1073.0
KAZN	KAZN	0.0	0.7304072404928579	0.756992570803134	0.703821910182581	0.0	KAZN	0.7304072404928579	1e-323	0.23863734	1073.0
SLC3A2	SLC3A2	0.0	0.856995681360545	0.8892871368882479	0.824704225832842	0.0	SLC3A2	0.856995681360545	1e-323	1.1115887	1073.0
