index	primerid	Pr(>Chisq)	coef	ci.hi	ci.lo	fdr	gene	log2fc	pval	mean	score
AC090498.1	AC090498.1	0.0	0.8785785649400151	0.898204982501738	0.858952147378292	0.0	AC090498.1	0.8785785649400151	5e-324	1.4754245	1074.0
PERP	PERP	0.0	0.852898221980546	0.8731329243193209	0.8326635196417719	0.0	PERP	0.852898221980546	5e-324	1.2417461	1074.0
NDUFA3	NDUFA3	0.0	0.607023477262148	0.628280966749285	0.585765987775011	0.0	NDUFA3	0.607023477262148	5e-324	1.3115939	1074.0
NAA38	NAA38	0.0	0.6228984200940071	0.6430803501625889	0.6027164900254239	0.0	NAA38	0.6228984200940071	5e-324	1.1842706	1074.0
MTRNR2L8	MTRNR2L8	0.0	0.788915006826975	0.808899547104412	0.7689304665495379	0.0	MTRNR2L8	0.788915006826975	5e-324	1.0355886	1074.0
MLLT11	MLLT11	0.0	0.687040480088074	0.7029854058149129	0.6710955543612359	0.0	MLLT11	0.687040480088074	5e-324	0.9809456	1074.0
MIF	MIF	0.0	0.8652808354229409	0.886346055714106	0.8442156151317759	0.0	MIF	0.8652808354229409	5e-324	2.4722183	1074.0
MGST1	MGST1	0.0	0.612898247960676	0.6291124261590041	0.596684069762348	0.0	MGST1	0.612898247960676	5e-324	1.20952	1074.0
MEST	MEST	0.0	0.9114185116798499	0.9355224168532191	0.887314606506481	0.0	MEST	0.9114185116798499	5e-324	1.3219221	1074.0
MARCKSL1	MARCKSL1	0.0	0.6966222547623729	0.714691361447179	0.6785531480775661	0.0	MARCKSL1	0.6966222547623729	5e-324	2.829314	1074.0
MAD2L2	MAD2L2	0.0	0.690008201524283	0.7060316295990681	0.673984773449497	0.0	MAD2L2	0.690008201524283	5e-324	1.0639408	1074.0
LSM4	LSM4	0.0	0.6233714557594611	0.6444609439624039	0.6022819675565171	0.0	LSM4	0.6233714557594611	5e-324	1.9741193	1074.0
KRT7	KRT7	0.0	0.683446178640724	0.7015024472687471	0.6653899100127	0.0	KRT7	0.683446178640724	5e-324	0.8364133	1074.0
KRT19	KRT19	0.0	0.5993647802650279	0.6204099560194649	0.57831960451059	0.0	KRT19	0.5993647802650279	5e-324	0.73219347	1074.0
IGFBP5	IGFBP5	0.0	1.0091256752633	1.03148703059196	0.9867643199346461	0.0	IGFBP5	1.0091256752633	5e-324	1.1644918	1074.0
ICA1	ICA1	0.0	0.6077458012136171	0.6203328580612171	0.595158744366017	0.0	ICA1	0.6077458012136171	5e-324	0.6499596	1074.0
HOXB5	HOXB5	0.0	0.63574612297218	0.6513813274737541	0.620110918470606	0.0	HOXB5	0.63574612297218	5e-324	0.92664593	1074.0
NDUFB4	NDUFB4	0.0	0.687684706653905	0.704325243480506	0.671044169827304	0.0	NDUFB4	0.687684706653905	5e-324	2.2176876	1074.0
PPP1R14B	PPP1R14B	0.0	0.6546367062374971	0.6753581068753169	0.633915305599678	0.0	PPP1R14B	0.6546367062374971	5e-324	1.8753947	1074.0
GRP	GRP	0.0	1.4557707581836399	1.4989415009199099	1.4126000154473701	0.0	GRP	1.4557707581836399	5e-324	2.4117696	1074.0
PTMS	PTMS	0.0	0.5886467307930071	0.6078420291789209	0.5694514324070941	0.0	PTMS	0.5886467307930071	5e-324	3.004381	1074.0
UQCR11	UQCR11	0.0	0.700406005484685	0.7191646156884821	0.6816473952808879	0.0	UQCR11	0.700406005484685	5e-324	2.1058187	1074.0
UCHL1	UCHL1	0.0	1.21485364978372	1.24250806736304	1.1871992322043998	0.0	UCHL1	1.21485364978372	5e-324	1.8903269	1074.0
TUBB2B	TUBB2B	0.0	1.42871717537761	1.4593130830359098	1.39812126771932	0.0	TUBB2B	1.42871717537761	5e-324	2.119902	1074.0
TUBB	TUBB	0.0	0.8189040460204271	0.844516253129787	0.7932918389110669	0.0	TUBB	0.8189040460204271	5e-324	3.0709143	1074.0
TUBA1B	TUBA1B	0.0	0.9270860419097551	0.9503857226549641	0.9037863611645459	0.0	TUBA1B	0.9270860419097551	5e-324	4.0919147	1074.0
TUBA1A	TUBA1A	0.0	1.28053946242477	1.3005175941496698	1.2605613306998702	0.0	TUBA1A	1.28053946242477	5e-324	3.7696934	1074.0
TPD52	TPD52	0.0	0.698454086394288	0.716935370028972	0.679972802759604	0.0	TPD52	0.698454086394288	5e-324	1.3324355	1074.0
TFF3	TFF3	0.0	2.1128273254361103	2.14116498049273	2.0844896703795	0.0	TFF3	2.1128273254361103	5e-324	2.6939766	1074.0
STMN1	STMN1	0.0	0.8276145827929721	0.845335749901893	0.8098934156840519	0.0	STMN1	0.8276145827929721	5e-324	4.2066956	1074.0
SOX4	SOX4	0.0	1.05917351885758	1.08250876085686	1.0358382768582899	0.0	SOX4	1.05917351885758	5e-324	3.062432	1074.0
SOX2	SOX2	0.0	0.6750909328037779	0.694099611996191	0.656082253611365	0.0	SOX2	0.6750909328037779	5e-324	0.73696977	1074.0
SFTA3	SFTA3	0.0	0.6104868235157971	0.62682657162427	0.594147075407324	0.0	SFTA3	0.6104868235157971	5e-324	0.5570535	1074.0
SEC11C	SEC11C	0.0	1.37973850811158	1.40374203374735	1.3557349824758202	0.0	SEC11C	1.37973850811158	5e-324	3.8312886	1074.0
RTN1	RTN1	0.0	0.679479161613465	0.695339936895521	0.6636183863314079	0.0	RTN1	0.679479161613465	5e-324	0.628609	1074.0
RBP1	RBP1	0.0	1.67044074752582	1.69320346708065	1.6476780279710002	0.0	RBP1	1.67044074752582	5e-324	1.3021413	1074.0
HMGN2	HMGN2	0.0	0.631075923635583	0.648994978266859	0.613156869004307	0.0	HMGN2	0.631075923635583	5e-324	4.070928	1074.0
KLF6	KLF6	0.0	0.7299576569019671	0.7541536402366898	0.705761673567244	0.0	KLF6	0.7299576569019671	5e-324	1.281642	1074.0
COX17	COX17	0.0	0.661153822573163	0.6819829269884139	0.6403247181579119	0.0	COX17	0.661153822573163	5e-324	1.7501018	1074.0
FXYD6	FXYD6	0.0	0.624545861897709	0.64048989239888	0.608601831396537	0.0	FXYD6	0.624545861897709	5e-324	0.615065	1074.0
CFL1	CFL1	0.0	0.862077681769618	0.8773663578488371	0.846789005690398	0.0	CFL1	0.862077681769618	5e-324	3.304428	1074.0
CDK2AP1	CDK2AP1	0.0	0.6407709136508001	0.660016470477075	0.6215253568245239	0.0	CDK2AP1	0.6407709136508001	5e-324	1.1645676	1074.0
ELAVL3	ELAVL3	0.0	0.644140181995613	0.661930793790782	0.6263495702004439	0.0	ELAVL3	0.644140181995613	5e-324	0.76557875	1074.0
CTXN1	CTXN1	0.0	0.657062258765085	0.670212382191343	0.643912135338827	0.0	CTXN1	0.657062258765085	5e-324	0.56631005	1074.0
FAM3B	FAM3B	0.0	0.711581134574475	0.7258285421862851	0.697333726962666	0.0	FAM3B	0.711581134574475	5e-324	0.6886883	1074.0
CRIP2	CRIP2	0.0	0.6129309766697779	0.630740492174621	0.595121461164935	0.0	CRIP2	0.6129309766697779	5e-324	1.4394765	1074.0
CRABP1	CRABP1	0.0	0.595404107840362	0.614475869097561	0.5763323465831619	0.0	CRABP1	0.595404107840362	5e-324	0.51964736	1074.0
FTH1	FTH1	0.0	0.6336891907361999	0.64790458201981	0.61947379945259	0.0	FTH1	0.6336891907361999	5e-324	5.0534034	1074.0
CD24	CD24	0.0	0.7182983976398108	0.741426696976067	0.6951700983035539	0.0	CD24	0.7182983976398108	5e-324	3.0711086	1074.0
DHPS	DHPS	0.0	0.617451424671933	0.6351651489164979	0.5997377004273671	0.0	DHPS	0.617451424671933	5e-324	1.1577733	1074.0
C12ORF75	C12ORF75	0.0	0.6573047664913679	0.6798263678979362	0.6347831650847989	0.0	C12ORF75	0.6573047664913679	5e-324	1.1724045	1074.0
BASP1	BASP1	0.0	0.766363906904547	0.788629308020923	0.74409850578817	0.0	BASP1	0.766363906904547	5e-324	1.4108304	1074.0
ASCL1	ASCL1	0.0	1.76201038147313	1.79330472371681	1.7307160392294498	0.0	ASCL1	1.76201038147313	5e-324	2.016957	1074.0
AES	AES	0.0	0.7234876484751519	0.7396878086634341	0.707287488286871	0.0	AES	0.7234876484751519	5e-324	1.9935611	1074.0
COTL1	COTL1	0.0	1.2363039115419499	1.2632866271043102	1.2093211959795902	0.0	COTL1	1.2363039115419499	5e-324	1.2724551	1074.0
CLDN3	CLDN3	0.0	0.616545859067375	0.6429134633607779	0.590178254773972	0.0	CLDN3	0.616545859067375	5e-324	1.5559593	1074.0
HIST1H4C	HIST1H4C	8.330089433155896e-305	0.638245651472859	0.672203637156367	0.6042876657893521	2.416811996819009e-303	HIST1H4C	0.638245651472859	8.330089433155896e-305	2.4688907	1010.1297369559697
HSPA1B	HSPA1B	4.8130304083366475e-304	-0.6015055504577621	-0.56527236505816	-0.637738735857365	1.3873622496983895e-302	HSPA1B	-0.6015055504577621	4.8130304083366475e-304	1.472072	-1007.599195307596
RGS10	RGS10	0.0	-0.8147014384731309	-0.7804591802162671	-0.848943696729995	0.0	RGS10	-0.8147014384731309	5e-324	0.36844593	-1074.0
S100A11	S100A11	0.0	-1.72545530931139	-1.69167292759371	-1.7592376910290801	0.0	S100A11	-1.72545530931139	5e-324	0.92577785	-1074.0
