index	primerid	Pr(>Chisq)	coef	ci.hi	ci.lo	fdr	gene	log2fc	pval	mean	score
EIF1	EIF1	1.92891629663414e-30	0.744632175572438	0.8641301515414609	0.6251341996034151	2.3615722219691796e-26	EIF1	0.744632175572438	1.92891629663414e-30	3.4622178	98.71005230616329
DDIT3	DDIT3	8.28060602427455e-13	0.6003078682709589	0.7795542532848531	0.421061483257065	2.51075714070637e-09	DDIT3	0.6003078682709589	8.28060602427455e-13	0.5319117	40.13532887689551
CALB2	CALB2	3.79132048405048e-06	-0.629871924807876	-0.37391439289029904	-0.885829456725454	0.000703289949791364	CALB2	-0.629871924807876	3.79132048405048e-06	1.8379796	-18.008868155229795
CKB	CKB	5.81163171754676e-07	-0.6428775490014019	-0.416531976492284	-0.86922312151052	0.000154677841560706	CKB	-0.6428775490014019	5.81163171754676e-07	2.301366	-20.714553381767864
ID2	ID2	7.639555972553071e-08	-0.6680207549213121	-0.439782159082445	-0.896259350760179	3.22520978524025e-05	ID2	-0.6680207549213121	7.639555972553071e-08	2.2236793	-23.641935970944125
GRP	GRP	4.96104247165596e-08	-0.601627557187543	-0.44238027335236796	-0.7608748410227192	2.33607857617246e-05	GRP	-0.601627557187543	4.96104247165596e-08	0.9586754	-24.264781450853363
SOX4	SOX4	1.6161890405071602e-09	-0.6034182475933471	-0.4202995141353879	-0.7865369810513051	1.41335731592351e-06	SOX4	-0.6034182475933471	1.6161890405071602e-09	3.8310468	-29.204756898562685
RBP1	RBP1	2.2721888340487803e-10	-0.5965710794591129	-0.42451318159010903	-0.768628977328116	2.52894617229629e-07	RBP1	-0.5965710794591129	2.2721888340487803e-10	3.1354928	-32.03519821146719
CRIP2	CRIP2	4.75420472505267e-12	-0.7037629208634971	-0.5229602740834189	-0.884565567643576	8.31510406411712e-09	CRIP2	-0.7037629208634971	4.75420472505267e-12	1.6855958	-37.613933108851626
PTMA	PTMA	1.7623332053994e-15	-0.7068546275064421	-0.5366855584502679	-0.8770236965626171	7.1920818112349606e-12	PTMA	-0.7068546275064421	1.7623332053994e-15	5.06478	-49.01143470204301
HES6	HES6	3.25770931218861e-23	-1.13266667457539	-0.9135233792600559	-1.35180996989073	1.99420675545626e-19	HES6	-1.13266667457539	3.25770931218861e-23	2.5980659	-74.70048830554833
