,primerid,Pr(>Chisq),coef,ci.hi,ci.lo,fdr
1,SEC11C,2.17218775412522e-36,1.37600862057027,1.56904263600937,1.18297460513116,2.6594094673755e-32
2,GRP,1.1713817016561e-33,2.18880215625217,2.49814590665001,1.87945840585432,7.17061308668781e-30
3,CYB5A,3.7757665966973e-08,0.527317102578897,0.702001853327961,0.352632351829833,0.000154089034811217
4,CALB2,1.06854971073413e-06,0.940107485312276,1.32072887677153,0.559486093853025,0.00327056352712948
5,UQCR11,1.62547096669296e-06,0.40474980830812,0.626931603284989,0.182568013331251,0.00398012820904439
6,PCP4,5.32977972958648e-06,-0.440606029786789,-0.31773077603702,-0.563481283536558,0.0108754155382212
7,GCHFR,9.6482869876377e-06,0.224179766283503,0.524481999654457,-0.0761224670874518,0.0148097012736689
8,SRP14,9.6771714603734e-06,0.404998672838234,0.572038323216709,0.237959022459759,0.0148097012736689
9,NUDT22,1.93652954316303e-05,0.227501796538648,0.361672636863133,0.0933309562141621,0.0263432568854944
10,HOXB5,2.40250696658792e-05,0.27026927126532,0.44277217169076,0.0977663708398793,0.0294138927919359
11,DRAM2,4.91012948360377e-05,-0.267043631636618,-0.180639286773799,-0.353447976499438,0.0500955960564674
12,ETV5,4.65156382703074e-05,0.209856526005521,0.388589688820404,0.0311233631906376,0.0500955960564674
13,GPR176,5.84085497738043e-05,0.267301941008536,0.413930406565005,0.120673475452066,0.055007374990822
14,BTBD17,0.000134423563406831,0.294406330859558,0.462690925076502,0.126121736642613,0.117553406199273
15,DOCK1,0.000145607683962708,0.336269450040415,0.549065137327633,0.123473762753197,0.118844991650362
16,IGFBP5,0.00018025082950715,0.615046357240094,0.94120569081128,0.288887023668907,0.129812406215061
17,MFSD1,0.000171768529593464,-0.130675737306811,-0.091834901712869,-0.169516572900752,0.129812406215061
18,AVP,0.00025895140762104,0.706675451106301,1.06944113087437,0.343909771338234,0.15851710417522
19,CDCA3,0.000250797439595846,NA,NA,NA,0.15851710417522
20,TXNL4A,0.000248279185769406,0.307977590192591,0.452617536705645,0.163337643679537,0.15851710417522
21,PTCD1,0.000386792490737673,0.249618600917243,0.394422837493995,0.104814364340491,0.215250021095515
22,TMEM61,0.00037786789710805,0.490366850539067,0.761042615737186,0.219691085340949,0.215250021095515
23,S100A13,0.000431658581104715,0.422034616132588,0.67253236096212,0.171536871303057,0.229773739498479
24,ACAA2,0.000530944569234889,0.405306681448166,0.578614136668079,0.231999226228253,0.264297465097356
25,C16ORF46,0.000640792754293765,NA,NA,NA,0.264297465097356
26,C3ORF14,0.000621434340755395,0.35529941625458,0.555659411547244,0.154939420961915,0.264297465097356
