,primerid,Pr(>Chisq),coef,ci.hi,ci.lo,fdr
1,GRP,1.74413525425496e-71,-0.508179528976835,-0.451267715471944,-0.565091342481726,2.83195241233378e-67
2,CYBA,7.41053847908817e-60,-0.267235072138334,-0.231906141614995,-0.302564002661673,6.01624566424773e-56
3,IGFBP2,9.45308829043396e-51,0.467712827214958,0.530277447132597,0.40514820729732,5.11632648572587e-47
4,CALM2,4.95185965918443e-46,-0.214131214710504,-0.185153190170601,-0.243109239250406,2.01008363215444e-42
5,NAXE,2.72732938748111e-44,-0.189652920140384,-0.152989355439756,-0.226316484841012,8.85672945290614e-41
6,PHGR1,9.29025706852889e-44,-0.175214908267401,-0.1288720048816,-0.221557811653203,2.51409840036173e-40
7,DYNLT1,1.83606536474838e-43,-0.200673915630231,-0.172398040440701,-0.228949790819762,4.25888476105992e-40
8,HMGN2,4.05119738070832e-43,-0.239210804908126,-0.205490807914543,-0.272930801901709,8.22241148382011e-40
9,JUNB,2.85734024013246e-40,0.28814875836872,0.329871236886718,0.246426279850721,5.15495927544786e-37
10,RP11-94M14.2,5.1942422655136e-38,0.252182697664164,0.291101503682946,0.213263891645382,8.43389116651443e-35
11,SIGLEC15,1.85985637910871e-36,0.267955594282605,0.308996218961033,0.226914969604176,2.7453170934171e-33
12,TUBA1B,4.55931966614743e-36,-0.277593090128158,-0.235108772781493,-0.320077407474822,6.16913945160298e-33
13,PSME2,2.61356748138548e-33,-0.206686803420582,-0.172544849342137,-0.240828757499028,3.26434578425047e-30
14,ENO1,3.92165934816264e-33,0.225892860258787,0.261969854132054,0.18981586638552,4.54828448829406e-30
15,FTL,1.22752646201054e-32,0.187312183159619,0.217524907911452,0.157099458407785,1.32875647757768e-29
16,UCHL1,7.59848997247363e-32,-0.213240264396117,-0.177717277560212,-0.248763251232021,7.71104260519089e-29
17,DLL3,1.13266749779609e-31,-0.16539177198641,-0.129336206697851,-0.201447337274969,1.08183071539501e-28
18,LIPA,8.72321019387878e-30,-0.231150646251942,-0.188613526770001,-0.273687765733883,7.86882021766721e-27
19,RGS17,4.98253900315014e-29,0.168055158800195,0.196405411029672,0.139704906570717,4.25797293653415e-26
20,TSPAN31,1.26831180241293e-28,0.193303859374014,0.226682353599501,0.159925365148527,1.02967893678894e-25
21,TMC5,3.57193915019613e-28,0.217194961213415,0.256121779304822,0.178268143122008,2.76178933246355e-25
22,LSM3,1.82861991564869e-27,-0.148650262471275,-0.122329315286242,-0.174971209656309,1.3496046168358e-24
23,AKAP12,2.56402497985047e-27,0.234109569063075,0.284365068379778,0.183854069746372,1.81009015642748e-24
24,SCG5,3.38772704066617e-27,-0.210212665499887,-0.170139307752485,-0.250286023247289,2.29193849830402e-24
25,EGR4,3.69827356154746e-27,0.285032252706734,0.337217022786105,0.232847482627364,2.40195471275385e-24
26,FST,7.43024032418109e-27,0.208997662801783,0.249167316625005,0.168828008978561,4.64018508245109e-24
27,CA9,1.28279062848974e-26,0.225500363714297,0.268135227094612,0.182865500333982,7.71432275362513e-24
28,CRIP1,1.61100612899958e-26,-0.193684823836112,-0.156534338907957,-0.230835308764267,9.34210947020223e-24
29,RP11-268G13.1,2.14761878698846e-26,0.190407308000074,0.224771571169917,0.156043044830231,1.20244435325282e-23
30,PON3,1.44774695966175e-25,-0.142768409182672,-0.108295612935834,-0.177241205429509,7.83568912800928e-23
31,EGR1,1.90428426948192e-25,0.221620745085318,0.261521652416497,0.181719837754139,9.9741495753477e-23
32,ACTG1,1.97123334620898e-25,0.158831698175139,0.188286783218042,0.129376613132235,1.00021612007485e-22
33,NDUFA4,3.0821633619545e-25,-0.136855883591802,-0.111474021766225,-0.162237745417379,1.51651777297137e-22
34,LDHA,2.02428445615383e-24,0.177770310611713,0.211041783102799,0.144498838120627,9.66714903369696e-22
