index	primerid	Pr(>Chisq)	coef	ci.hi	ci.lo	fdr	gene	log2fc	pval	mean	score
METTL1	METTL1	6.648268160024828e-127	0.875380640305775	0.9456712144587649	0.805090066152785	1.0794793011432297e-122	METTL1	0.875380640305775	6.648268160024828e-127	3.703109	419.15188947584676
ARHGEF25	ARHGEF25	2.4321614245071595e-113	0.9148197077930871	0.991373430261784	0.8382659853243901	1.3163668349907595e-109	ARHGEF25	0.9148197077930871	2.4321614245071595e-113	2.4576883	374.09563573748414
CDK4	CDK4	1.3192888872192398e-85	0.6207647878349979	0.681898518879109	0.559631056790886	4.284258732355759e-82	CDK4	0.6207647878349979	1.3192888872192398e-85	6.5241227	281.9641275565421
CYP27B1	CYP27B1	1.1265978877078399e-70	0.655691902392177	0.7310381719189	0.5803456328654549	2.0325077669680195e-67	CYP27B1	0.655691902392177	1.1265978877078399e-70	1.6172876	232.36299397037493
MDM1	MDM1	9.423469745426328e-68	0.838363605734698	0.94708659178472	0.7296406196846751	1.5300887825648697e-64	MDM1	0.838363605734698	9.423469745426328e-68	0.6158029	222.6548520907154
PAEP	PAEP	2.88479890689954e-33	0.6745360151033061	0.8108340086854928	0.538238021521118	1.23264420661389e-30	PAEP	0.6745360151033061	2.88479890689954e-33	0.50355107	108.09515637606219
NTS	NTS	5.904909587834411e-29	0.742497667569522	0.886248711591039	0.598746623548004	1.99745868703474e-26	NTS	0.742497667569522	5.904909587834411e-29	3.046971	93.77399978155756
GDF15	GDF15	4.4999665069628394e-27	0.65350423983556	0.7766665777607858	0.530341901910335	1.21776593622593e-24	GDF15	0.65350423983556	4.4999665069628394e-27	1.4364057	87.52214429838723
TFF3	TFF3	7.378237896102689e-54	-0.656564709440569	-0.5730483806141861	-0.7400810382669529	7.986696581267958e-51	TFF3	-0.656564709440569	7.378237896102689e-54	5.665033	-176.50084081740118
PHGR1	PHGR1	1.4192602293479798e-76	-0.9787415125271299	-0.883683834170172	-1.0737991908840898	3.292075477703309e-73	PHGR1	-0.9787415125271299	1.4192602293479798e-76	2.4035609	-251.9613960715344
SEC11C	SEC11C	7.213760264196849e-89	-0.9013148936939749	-0.813582275563914	-0.9890475118240359	2.9282456352441097e-85	SEC11C	-0.9013148936939749	7.213760264196849e-89	6.0022345	-292.80084896631905
GRP	GRP	6.355707835134359e-116	-1.31204071844946	-1.2010722085140402	-1.4230092283848799	5.159881405953829e-112	GRP	-1.31204071844946	6.355707835134359e-116	5.0274534	-382.6756061998201
