,primerid,Pr(>Chisq),coef,ci.hi,ci.lo,fdr
1,PLCG2,4.15727922115097e-39,4.09826345410824,4.6020283778101,3.59449853040638,5.77487656610081e-35
2,NEO1,1.20176121281668e-18,0.534994357473857,1.55173138966599,-0.481742674718277,8.34683250361824e-15
3,FAM184A,2.27427400251928e-18,1.21514694727537,1.81829060492301,0.612003289627716,1.05306467229984e-14
4,DYNC1I1,1.70011953401573e-15,0.495878732635098,1.44742292322805,-0.455665457957851,5.90409011175314e-12
5,AHI1,5.43148685665997e-15,1.47022416589507,1.77050030998305,1.16994802180709,1.50897567851727e-11
6,ALMS1,1.99137514324883e-14,0.875295748466456,1.82980512883018,-0.0792136318972734,3.95174173069564e-11
7,RALGPS1,1.7825418907333e-14,0.854298750831725,1.7682560946753,-0.0596585930118532,3.95174173069564e-11
8,CASP8AP2,5.04793056074151e-13,0.899421736514581,1.93283660177423,-0.133993128745066,8.76510042740754e-10
9,CHD2,6.78383734343952e-13,1.2082552925221,2.07969663885083,0.336813946193361,1.04704760597465e-09
10,MYO9A,1.30290482029237e-12,0.45746896395804,1.33939388952789,-0.424455961611809,1.80986508586814e-09
11,GOLGA8B,1.52655107479857e-12,1.20017761364165,1.7861199890883,0.614235238194997,1.92775645272972e-09
12,VPS8,1.90100038284482e-12,0.44995997067201,1.39618356304965,-0.496263621705627,2.20056635984145e-09
13,SPICE1,4.97527838754764e-12,1.12999692038574,1.40349676698392,0.856497073787558,5.31627631395572e-09
14,ERCC6L2,5.73237499099693e-12,0.884965352650075,1.54646637262879,0.223464332671356,5.68774435713845e-09
15,NPRL2,5.16103337439937e-11,0.583026738223262,1.315952428054,-0.149898951607478,4.77946097358545e-08
16,DENND6A,6.28415268725999e-11,0.68124427883179,1.49978415822611,-0.137295600562531,5.45582281117054e-08
17,AGPAT4,1.41628612172901e-10,0.368829201004296,1.09281381804308,-0.355155416034488,1.15727238334927e-07
18,EPM2AIP1,1.77043910266504e-10,1.18785110931941,1.56323818183516,0.812464036803661,1.36628719861778e-07
19,SERPINI1,2.18518117322914e-10,0.82023226063855,1.77909306888578,-0.138628547608679,1.5177175838663e-07
20,TSR1,2.12833317533834e-10,0.63997296629688,2.03092285313846,-0.750976920544696,1.5177175838663e-07
21,ZNF608,3.27452475165881e-10,0.434160610131026,1.28970624700079,-0.42138502673874,2.16602015834726e-07
22,CEP162,4.48795880802438e-10,0.630363964553225,1.36305223205029,-0.102324302943843,2.7105319914029e-07
23,MICU3,4.46947950499429e-10,0.737012337202868,1.59719581612835,-0.123171141722613,2.7105319914029e-07
24,TRIM73,6.10256743309882e-10,0.605799345388369,1.30892030630982,-0.0973216155330836,3.53211517554899e-07
25,POF1B,7.10569349662469e-10,0.487551094974971,1.45130633024132,-0.476204140291381,3.94820753446454e-07
26,COL22A1,9.17650233628882e-10,0.985437284611665,1.70331842997942,0.267556139243911,4.90272284436108e-07
27,PLEKHG4B,1.21695030605973e-09,0.917751695755105,1.60333232183494,0.232171069675275,6.26098396350954e-07
28,ARHGAP26,1.34408748978181e-09,0.393900651821562,1.17028119136492,-0.382479887721797,6.66811404305684e-07
29,DST,1.60035809794938e-09,1.0869158622202,2.25567873769948,-0.0818470132590858,7.66571528917752e-07
30,CHAF1A,1.77678479204079e-09,0.775480147800601,1.74817680167149,-0.197216506070287,8.2271058487462e-07
31,CLCC1,2.09755762112048e-09,0.370889274312225,1.11358266322445,-0.371804114599998,9.39908803709179e-07
32,BP-21264C1.2,2.41535098142708e-09,0.711707366581692,1.28749458663635,0.135920146527037,1.04848876509386e-06
33,NRDE2,5.66004230133062e-09,1.05385986691801,1.37784958168677,0.72987015214925,2.38253477599344e-06
34,ZFP69B,6.16344561772159e-09,0.845154103895833,1.81512349217472,-0.124815284383056,2.51813009046384e-06
35,DNAJC3-AS1,6.52301180681911e-09,0.86483773423207,1.53485968099637,0.194815787467768,2.58889020024355e-06
36,FOXA1,7.38960010444837e-09,0.947322321879916,1.46772157525707,0.426923068502764,2.85135930696923e-06
37,KNTC1,8.18095281996149e-09,0.994228976497114,1.7485583905357,0.239899562458527,2.99056883216013e-06
38,SIMC1,8.06053747446895e-09,0.368876120466608,1.10167612734696,-0.363923886413743,2.99056883216013e-06
39,RP11-297N6.4,8.68618578480619e-09,0.351245124520501,1.0473134811863,-0.344823232145298,3.09384119837802e-06
40,SUMF2,1.3352380966666e-08,0.395012807905005,1.36148974173956,-0.571464125929551,4.63694810019895e-06
41,ZNF584,1.91641440588882e-08,0.920050134281601,1.38196632738151,0.458133941181692,6.49290549078089e-06
42,NQO2,2.24217830593487e-08,0.723016895442416,1.33102241541623,0.115011375468602,7.41573782089077e-06
43,SYNE2,2.53783837909444e-08,1.36749476074466,1.9936454376659,0.741344083823422,8.1983983544188e-06
44,RNF139-AS1,3.12660172446465e-08,0.346679748282666,1.03380866464979,-0.340449168084461,9.87082376239509e-06
45,H3F3A,4.96534207287195e-08,-1.05460725471668,-0.693569379342189,-1.41564513009117,1.53274592742809e-05
46,FAM227B,5.60633094670181e-08,0.342982292274708,1.05926611926403,-0.373301534714614,1.69299006914424e-05
47,PHF3,5.88047511098736e-08,1.07805870863651,1.9067196773462,0.24939773992682,1.73799318652607e-05
48,HIST1H2BE,6.65083085831028e-08,0.674686452088126,1.480157083051,-0.130784178874743,1.92472273859975e-05
49,CLCN4,7.51018232002792e-08,0.644245996062874,1.38172634049503,-0.0932343483692815,2.12906005321444e-05
50,CD58,8.25955256385833e-08,0.331346956590151,0.991463638279633,-0.32876972509933,2.27429802506192e-05
51,NPM2,8.34995315514777e-08,0.304715838376279,0.980092775903169,-0.370661099150611,2.27429802506192e-05
52,UNC119B,8.94173264189386e-08,0.453829470690445,1.35488496006648,-0.447226018685589,2.38864631016438e-05
53,CDC14A,9.1820530340402e-08,0.384929290109248,1.15445179493028,-0.384593214711785,2.40656412633684e-05
54,NUP62CL,1.01900317427668e-07,0.725429823869931,1.31529918290577,0.13556046483409,2.621291313681e-05
55,NDUFAF5,1.10026998267144e-07,0.353126361937169,1.31206950805453,-0.605816784180193,2.72925898737303e-05
56,ZNHIT6,1.09071962264145e-07,0.926478935349255,1.63303412315709,0.219923747541415,2.72925898737303e-05
57,TBC1D20,1.1421005138749e-07,0.751775357028842,1.66211892049875,-0.15856820644107,2.78331898916426e-05
58,SNX29,1.2037545482171e-07,0.43605267349328,1.36112143455131,-0.48901608756475,2.88299214297994e-05
59,PTBP2,1.50901814239534e-07,0.611699217570897,1.32375258137925,-0.100354146237452,3.55284254508707e-05
60,TMC4,1.55606370549204e-07,0.334268043001815,1.02653370789735,-0.357997621893722,3.60254682216499e-05
61,ZNF460,1.86918546113881e-07,0.349083027255027,1.04600861168511,-0.347842557175058,4.25653364601298e-05
62,ANKRD26,2.09497434125035e-07,0.923886628361232,1.63820809800851,0.209565158713958,4.69375622166268e-05
63,ZNF184,2.52802204367144e-07,0.54444594544038,1.20710743347351,-0.118215542592753,5.5740879696254e-05
64,KDM1B,3.22109079460063e-07,0.601077274116628,1.43796788946387,-0.235813341230618,6.99127691059334e-05
