index	primerid	Pr(>Chisq)	coef	ci.hi	ci.lo	fdr	gene	log2fc	pval	mean	score
PLCG2	PLCG2	4.157279221150971e-39	4.09826345410824	4.602028377810099	3.59449853040638	5.77487656610081e-35	PLCG2	4.09826345410824	4.157279221150971e-39	1.2753867	127.49955605164855
FAM184A	FAM184A	2.27427400251928e-18	1.21514694727537	1.8182906049230099	0.6120032896277161	1.05306467229984e-14	FAM184A	1.21514694727537	2.27427400251928e-18	0.08770687	58.60929962864914
AHI1	AHI1	5.43148685665997e-15	1.47022416589507	1.7705003099830499	1.1699480218070901	1.50897567851727e-11	AHI1	1.47022416589507	5.43148685665997e-15	0.6531453	47.38757423686502
RALGPS1	RALGPS1	1.7825418907333e-14	0.854298750831725	1.7682560946753	-0.0596585930118532	3.9517417306956397e-11	RALGPS1	0.854298750831725	1.7825418907333e-14	0.16256738	45.67305734721363
ALMS1	ALMS1	1.99137514324883e-14	0.875295748466456	1.8298051288301798	-0.0792136318972734	3.9517417306956397e-11	ALMS1	0.875295748466456	1.99137514324883e-14	0.17550425	45.51322830107477
CASP8AP2	CASP8AP2	5.04793056074151e-13	0.899421736514581	1.93283660177423	-0.133993128745066	8.765100427407541e-10	CASP8AP2	0.899421736514581	5.04793056074151e-13	0.2656225	40.8493731687705
CHD2	CHD2	6.78383734343952e-13	1.2082552925221	2.0796966388508302	0.3368139461933611	1.04704760597465e-09	CHD2	1.2082552925221	6.78383734343952e-13	0.2842721	40.42296365482363
GOLGA8B	GOLGA8B	1.5265510747985702e-12	1.20017761364165	1.7861199890883002	0.614235238194997	1.9277564527297197e-09	GOLGA8B	1.20017761364165	1.5265510747985702e-12	0.044968016	39.2528612791227
SPICE1	SPICE1	4.975278387547639e-12	1.1299969203857398	1.40349676698392	0.8564970737875579	5.3162763139557205e-09	SPICE1	1.1299969203857398	4.975278387547639e-12	0.22005239	37.548359885937224
ERCC6L2	ERCC6L2	5.732374990996929e-12	0.8849653526500749	1.5464663726287902	0.22346433267135601	5.687744357138449e-09	ERCC6L2	0.8849653526500749	5.732374990996929e-12	0.1464776	37.344004150130594
DENND6A	DENND6A	6.28415268725999e-11	0.6812442788317901	1.49978415822611	-0.137295600562531	5.45582281117054e-08	DENND6A	0.6812442788317901	6.28415268725999e-11	0.18618761	33.889490809265624
EPM2AIP1	EPM2AIP1	1.7704391026650398e-10	1.18785110931941	1.56323818183516	0.8124640368036609	1.36628719861778e-07	EPM2AIP1	1.18785110931941	1.7704391026650398e-10	0.2566116	32.39517372829877
TSR1	TSR1	2.12833317533834e-10	0.63997296629688	2.0309228531384598	-0.7509769205446959	1.5177175838663e-07	TSR1	0.63997296629688	2.12833317533834e-10	0.37042138	32.12955693676401
SERPINI1	SERPINI1	2.1851811732291402e-10	0.82023226063855	1.77909306888578	-0.13862854760867901	1.5177175838663e-07	SERPINI1	0.82023226063855	2.1851811732291402e-10	0.09088598	32.09152805043676
MICU3	MICU3	4.46947950499429e-10	0.7370123372028679	1.5971958161283502	-0.12317114172261301	2.7105319914029004e-07	MICU3	0.7370123372028679	4.46947950499429e-10	0.20000525	31.059174117305282
CEP162	CEP162	4.4879588080243803e-10	0.630363964553225	1.36305223205029	-0.10232430294384301	2.7105319914029004e-07	CEP162	0.630363964553225	4.4879588080243803e-10	0.14961465	31.053221514400107
TRIM73	TRIM73	6.10256743309882e-10	0.605799345388369	1.30892030630982	-0.0973216155330836	3.53211517554899e-07	TRIM73	0.605799345388369	6.10256743309882e-10	0.065950364	30.609864617063057
COL22A1	COL22A1	9.176502336288819e-10	0.985437284611665	1.70331842997942	0.26755613924391103	4.90272284436108e-07	COL22A1	0.985437284611665	9.176502336288819e-10	0.17425065	30.021336579944006
PLEKHG4B	PLEKHG4B	1.21695030605973e-09	0.9177516957551051	1.60333232183494	0.23217106967527498	6.260983963509539e-07	PLEKHG4B	0.9177516957551051	1.21695030605973e-09	0.21324752	29.61408259691651
DST	DST	1.6003580979493802e-09	1.0869158622202	2.2556787376994802	-0.0818470132590858	7.665715289177521e-07	DST	1.0869158622202	1.6003580979493802e-09	0.23039329	29.218958093666757
CHAF1A	CHAF1A	1.7767847920407898e-09	0.7754801478006009	1.74817680167149	-0.197216506070287	8.2271058487462e-07	CHAF1A	0.7754801478006009	1.7767847920407898e-09	0.3209357	29.068083904334763
BP-21264C1.2	BP-21264C1.2	2.4153509814270803e-09	0.711707366581692	1.28749458663635	0.135920146527037	1.0484887650938602e-06	BP-21264C1.2	0.711707366581692	2.4153509814270803e-09	0.10424886	28.625120007628205
NRDE2	NRDE2	5.66004230133062e-09	1.05385986691801	1.37784958168677	0.7298701521492501	2.3825347759934397e-06	NRDE2	1.05385986691801	5.66004230133062e-09	0.3278391	27.39654001865139
ZFP69B	ZFP69B	6.1634456177215895e-09	0.845154103895833	1.81512349217472	-0.124815284383056	2.51813009046384e-06	ZFP69B	0.845154103895833	6.1634456177215895e-09	0.16939873	27.27361575211615
DNAJC3-AS1	DNAJC3-AS1	6.52301180681911e-09	0.86483773423207	1.53485968099637	0.194815787467768	2.5888902002435503e-06	DNAJC3-AS1	0.86483773423207	6.52301180681911e-09	0.13376348	27.19181461414756
FOXA1	FOXA1	7.389600104448371e-09	0.9473223218799159	1.46772157525707	0.42692306850276396	2.85135930696923e-06	FOXA1	0.9473223218799159	7.389600104448371e-09	0.32634804	27.01185656037795
KNTC1	KNTC1	8.18095281996149e-09	0.994228976497114	1.7485583905357	0.23989956245852698	2.99056883216013e-06	KNTC1	0.994228976497114	8.18095281996149e-09	0.25754794	26.86508397309552
ZNF584	ZNF584	1.91641440588882e-08	0.920050134281601	1.3819663273815102	0.45813394118169204	6.49290549078089e-06	ZNF584	0.920050134281601	1.91641440588882e-08	0.16760597	25.63701519558471
NQO2	NQO2	2.24217830593487e-08	0.7230168954424159	1.33102241541623	0.11501137546860199	7.41573782089077e-06	NQO2	0.7230168954424159	2.24217830593487e-08	0.13817732	25.410523748190453
SYNE2	SYNE2	2.53783837909444e-08	1.36749476074466	1.9936454376659	0.7413440838234221	8.198398354418801e-06	SYNE2	1.36749476074466	2.53783837909444e-08	0.37954003	25.23182456427112
PHF3	PHF3	5.8804751109873606e-08	1.07805870863651	1.9067196773462	0.24939773992682002	1.73799318652607e-05	PHF3	1.07805870863651	5.8804751109873606e-08	0.44351748	24.019492037272865
HIST1H2BE	HIST1H2BE	6.65083085831028e-08	0.6746864520881259	1.480157083051	-0.130784178874743	1.92472273859975e-05	HIST1H2BE	0.6746864520881259	6.65083085831028e-08	0.036291115	23.84189017784022
CLCN4	CLCN4	7.51018232002792e-08	0.644245996062874	1.38172634049503	-0.0932343483692815	2.1290600532144396e-05	CLCN4	0.644245996062874	7.51018232002792e-08	0.14985554	23.666576827523482
NUP62CL	NUP62CL	1.0190031742766801e-07	0.7254298238699309	1.31529918290577	0.13556046483409	2.621291313681e-05	NUP62CL	0.7254298238699309	1.0190031742766801e-07	0.17696525	23.226338118589958
ZNHIT6	ZNHIT6	1.09071962264145e-07	0.9264789353492551	1.63303412315709	0.21992374754141503	2.72925898737303e-05	ZNHIT6	0.9264789353492551	1.09071962264145e-07	0.23163773	23.128216370075226
TBC1D20	TBC1D20	1.1421005138749e-07	0.751775357028842	1.6621189204987499	-0.15856820644107	2.78331898916426e-05	TBC1D20	0.751775357028842	1.1421005138749e-07	0.24648619	23.061807039353496
PTBP2	PTBP2	1.50901814239534e-07	0.611699217570897	1.32375258137925	-0.100354146237452	3.55284254508707e-05	PTBP2	0.611699217570897	1.50901814239534e-07	0.11020754	22.6598865132267
ANKRD26	ANKRD26	2.09497434125035e-07	0.923886628361232	1.6382080980085099	0.209565158713958	4.693756221662679e-05	ANKRD26	0.923886628361232	2.09497434125035e-07	0.13419265	22.186564089965938
KDM1B	KDM1B	3.2210907946006304e-07	0.6010772741166279	1.4379678894638703	-0.23581334123061803	6.99127691059334e-05	KDM1B	0.6010772741166279	3.2210907946006304e-07	0.35377336	21.565947336904678
DDB2	DDB2	3.3500159097262e-07	0.7880324991474872	1.4052912192834899	0.170773779011485	7.15924169261641e-05	DDB2	0.7880324991474872	3.3500159097262e-07	0.1343107	21.509328717050504
SCNN1A	SCNN1A	4.25172257443988e-07	1.4024357141305899	2.36393281636679	0.440938611894386	8.685393864933e-05	SCNN1A	1.4024357141305899	4.25172257443988e-07	0.7458102	21.16544920034755
NRXN1	NRXN1	7.289587343221371e-07	0.995767420640375	1.45417805847211	0.537356782808639	0.00012657457223086	NRXN1	0.995767420640375	7.289587343221371e-07	0.2216783	20.387659516976
PRKAG2	PRKAG2	7.68170224417254e-07	0.797516479652586	1.25282343362948	0.342209525675698	0.00013173645169605	PRKAG2	0.797516479652586	7.68170224417254e-07	0.16288462	20.312070620569195
TRO	TRO	8.003713722464859e-07	0.6074909974449361	1.32566933112232	-0.110687336232449	0.000133951310022602	TRO	0.6074909974449361	8.003713722464859e-07	0.08307091	20.252827098487934
SCAPER	SCAPER	8.852814163104479e-07	0.7057582664219479	1.2150224773521698	0.19649405549172602	0.000144675813576099	SCAPER	0.7057582664219479	8.852814163104479e-07	0.107588254	20.107360527232103
TUBB3	TUBB3	9.99913235505689e-07	0.665297598526667	1.13166586331377	0.19892933373956098	0.000159467356297463	TUBB3	0.665297598526667	9.99913235505689e-07	0.021258561	19.931693749460514
GTF3C4	GTF3C4	1.10832980393772e-06	0.9044494064534859	1.6061475183971399	0.202751294509832	0.00016918471765383402	GTF3C4	0.9044494064534859	1.10832980393772e-06	0.2830594	19.78318132358157
INTS6L	INTS6L	1.26002912300538e-06	0.6040882955884129	1.3215188781748302	-0.11334228699800301	0.000182879859565296	INTS6L	0.6040882955884129	1.26002912300538e-06	0.09600955	19.598111490257807
HELLS	HELLS	1.31290793929899e-06	1.1453472846890902	1.59468112062976	0.6960134487484171	0.000186563228415243	HELLS	1.1453472846890902	1.31290793929899e-06	0.53170806	19.538802810879506
HIST1H3A	HIST1H3A	1.5244142879948298e-06	0.7476771353405219	1.37321277191383	0.122141498767214	0.000211756388745362	HIST1H3A	0.7476771353405219	1.5244142879948298e-06	0.047357596	19.323313533939515
SLC26A6	SLC26A6	1.62264320208907e-06	0.6835815308430899	1.22967430913473	0.137488752551452	0.00022162310352937797	SLC26A6	0.6835815308430899	1.62264320208907e-06	0.048092343	19.233222764241734
PTCD3	PTCD3	1.62735271470712e-06	0.7634567879025901	1.32400657972055	0.202906996084629	0.00022162310352937797	PTCD3	0.7634567879025901	1.62735271470712e-06	0.31791794	19.229041592678
POLR2J3	POLR2J3	1.6521021572487e-06	0.9490599836351071	1.58026887814098	0.317851089129235	0.00022280923365380299	POLR2J3	0.9490599836351071	1.6521021572487e-06	0.2386262	19.20726567118707
UPF2	UPF2	1.81024363754101e-06	0.689975754770106	1.61188587500335	-0.23193436546313603	0.000239486613038877	UPF2	0.689975754770106	1.81024363754101e-06	0.4356062	19.075384689133042
RHOC	RHOC	1.8437684160158198e-06	0.806030537901	1.26296222205121	0.349098853750793	0.000241620632706375	RHOC	0.806030537901	1.8437684160158198e-06	0.17106655	19.048911109894803
ARGLU1	ARGLU1	2.20473714956678e-06	1.17462768343082	1.59920900851364	0.7500463583480029	0.000268355125550069	ARGLU1	1.17462768343082	2.20473714956678e-06	1.1303241	18.790961902484977
KIFC2	KIFC2	2.5913694673898102e-06	0.6739421867748929	1.0642744336618801	0.283609939887909	0.000305056892131456	KIFC2	0.6739421867748929	2.5913694673898102e-06	0.09926005	18.557853845287966
LARP1B	LARP1B	3.5310005113890295e-06	0.969359252094407	1.3782369045208303	0.5604815996679829	0.000395557484707298	LARP1B	0.969359252094407	3.5310005113890295e-06	0.42120057	18.11149153928348
H3F3A	H3F3A	4.96534207287195e-08	-1.05460725471668	-0.693569379342189	-1.4156451300911699	1.53274592742809e-05	H3F3A	-1.05460725471668	4.96534207287195e-08	5.5400968	-24.26353164762194
