index	primerid	Pr(>Chisq)	coef	ci.hi	ci.lo	fdr	gene	log2fc	pval	mean	score
IGFBP5	IGFBP5	1.2048089488545298e-57	0.8806590032507031	0.9854111013210008	0.7759069051804058	8.680046072022439e-54	IGFBP5	0.8806590032507031	1.2048089488545298e-57	2.7483504	189.08109701763703
COTL1	COTL1	8.942353419840808e-54	0.730827226540259	0.815291068176965	0.6463633849035529	4.295012347549539e-50	COTL1	0.730827226540259	8.942353419840808e-54	1.3829274	176.2234625586928
TFF3	TFF3	5.79602092516005e-43	0.704026442185874	0.7979587195802941	0.610094164791454	4.3955192374016404e-40	TFF3	0.704026442185874	5.79602092516005e-43	2.6284194	140.30784527674376
CHGA	CHGA	7.575492856571149e-31	0.595800523171342	0.686707478650184	0.5048935676924999	1.70555119641146e-28	CHGA	0.595800523171342	7.575492856571149e-31	1.3021296	100.05843118908098
HIST1H4C	HIST1H4C	1.18787544854595e-29	-0.7311179783511791	-0.5964217414855121	-0.865814215216845	2.3772357414025698e-27	HIST1H4C	-0.7311179783511791	1.18787544854595e-29	4.012471	-96.08753117753524
ARL6IP1	ARL6IP1	3.4105300126893603e-31	-0.6456531045354289	-0.5453233151134671	-0.7459828939573909	7.92618176658727e-29	ARL6IP1	-0.6456531045354289	3.4105300126893603e-31	1.4629849	-101.20977498312078
PTTG1	PTTG1	5.30193791779956e-42	-0.634852598203934	-0.539551113948595	-0.7301540824592729	3.47252833898063e-39	PTTG1	-0.634852598203934	5.30193791779956e-42	1.5932492	-137.1144602079737
SMC4	SMC4	8.260824274980109e-47	-0.59802787364842	-0.503812669622019	-0.6922430776748211	8.502158355584889e-44	SMC4	-0.59802787364842	8.260824274980109e-47	1.5490377	-153.08433471703282
CENPW	CENPW	3.56468792751231e-48	-0.5861607822206171	-0.5127041158834841	-0.65961744855775	5.707065371947211e-45	CENPW	-0.5861607822206171	3.56468792751231e-48	1.1050183	-157.61877277389544
HMGB2	HMGB2	6.6818150537925694e-49	-0.718763089212516	-0.6131546780420899	-0.824371500382943	1.20347841387621e-45	HMGB2	-0.718763089212516	6.6818150537925694e-49	2.3861494	-160.03423659866493
CENPF	CENPF	3.2877500508529895e-51	-0.7230146376802351	-0.6479866615446639	-0.798042613815805	7.895531747123459e-48	CENPF	-0.7230146376802351	3.2877500508529895e-51	1.1530007	-167.70123221605758
CKS1B	CKS1B	1.0844245869618399e-51	-0.7242823648388359	-0.637450514631432	-0.811114215046241	3.12509477470664e-48	CKS1B	-0.7242823648388359	1.0844245869618399e-51	1.3727652	-169.30140311063357
UBE2C	UBE2C	4.027106168542539e-53	-0.8988567160872639	-0.7962385589973101	-1.0014748731772198	1.45066431956324e-49	UBE2C	-0.8988567160872639	4.027106168542539e-53	1.697914	-174.05244552177987
TOP2A	TOP2A	7.881683818821969e-61	-0.8232518705359079	-0.747429496975102	-0.899074244096715	1.13567182145406e-56	TOP2A	-0.8232518705359079	7.881683818821969e-61	1.2806174	-199.65910991256442
