,primerid,Pr(>Chisq),coef,ci.hi,ci.lo,fdr
1,SEC11C,3.49606856655907e-111,1.09443022221874,1.1864872566116,1.00237318782588,5.03748519755496e-107
2,GRP,1.65835465340918e-48,1.14705387942612,1.29421674740064,0.999891011451596,1.19476161004864e-44
3,MS4A8,1.87017144890173e-27,0.698251505785567,0.826239719250413,0.57026329232072,8.98243346907502e-24
4,BIK,3.27884587216972e-27,0.642857892867262,0.764005728426175,0.521710057308348,1.18112225430234e-23
5,COTL1,3.39182615865121e-23,0.66984272122441,0.791618467503892,0.548066974944927,9.77456462400105e-20
6,CKS1B,9.95382366692072e-21,-0.711167561291712,-0.598410999869752,-0.823924122713672,2.39041075361101e-17
7,UBE2S,5.56823927174685e-20,-0.689267756273306,-0.5472268162142,-0.831308696332412,1.14618228095143e-16
8,CENPF,7.74913484863889e-20,-0.676226271134325,-0.588079486620204,-0.764373055648446,1.34821785081316e-16
9,SMC4,8.42109838109406e-20,-0.687150816133898,-0.560404379693297,-0.813897252574499,1.34821785081316e-16
10,TROAP,1.66279883438655e-18,-0.381170692701,-0.333703105078945,-0.428638280323054,2.39592684046758e-15
11,UBE2C,3.30735442706936e-18,-0.822561599868464,-0.679473133157482,-0.965650066579447,4.33233363087659e-15
12,BIRC5,1.36130688574012e-17,-0.38798285783229,-0.33760062699801,-0.43836508866657,1.63458924305245e-14
13,ESPL1,2.45821680874929e-17,0.480405004769805,0.588216692167033,0.372593317372577,2.72464969209757e-14
14,TOP2A,3.78915683929823e-17,-0.643735107823221,-0.53630661869438,-0.751163596952062,3.89985434981773e-14
15,PBK,5.31047507986111e-17,-0.435681964536798,-0.375759141644388,-0.495604787429207,5.10124236171458e-14
16,SCGN,9.18181602486905e-17,0.543030166034674,0.662948660411376,0.423111671657972,8.26879919389613e-14
17,CDKN3,1.5330104189939e-16,-0.397516695613319,-0.340427752443972,-0.454605638782665,1.29936159572253e-13
18,CHGA,2.97207506647931e-16,0.595497814574918,0.725951111033931,0.465044518115905,2.37914609071669e-13
19,ASCL1,5.34422253348769e-16,0.541614605613373,0.662534145541307,0.420695065685439,4.05288960447495e-13
20,CCNB2,3.35455266553149e-15,-0.258220894851434,-0.221886374655732,-0.294555415047137,2.41678746788216e-12
21,HIST1H1C,4.27284366554512e-15,-0.648618237026543,-0.528284296291161,-0.768952177761925,2.93178116080189e-12
22,CKS2,6.23399358211463e-15,-0.590177435462324,-0.456744183443762,-0.723610687480885,4.08298243294044e-12
23,HMGB2,1.49000619007295e-14,-0.51878063222132,-0.371276035826833,-0.666285228615808,9.33456486641787e-12
24,TPX2,1.69429236152896e-14,-0.366088024397492,-0.302960062016297,-0.429215986778687,1.01721077655295e-11
25,PAQR4,4.69015975176531e-14,0.365593821564415,0.464524668968186,0.266662974160644,2.70322047452745e-11
26,PRC1,6.36080401950831e-14,-0.485952198268443,-0.388078946528978,-0.583825450007907,3.52510865834982e-11
27,DLGAP5,1.10933302850441e-13,-0.216556654525417,-0.182095936183141,-0.251017372867693,5.92014059545186e-11
28,HN1,1.94396168861242e-13,-0.47109543498482,-0.345116706618122,-0.597074163351517,9.74047347400274e-11
29,NUF2,1.96039788150517e-13,-0.267478136001118,-0.225189640661368,-0.309766631340868,9.74047347400274e-11
30,NDC80,3.68162621520064e-13,-0.274802161647503,-0.229440536192533,-0.320163787102473,1.76828507116087e-10
31,TFF3,4.99458084401001e-13,0.55068106148551,0.689373768049535,0.411988354921485,2.32151339939807e-10
32,CACNA1A,7.68725381888005e-13,0.467024377460963,0.592881085244967,0.341167669676959,3.46142625863258e-10
33,CCDC88A,1.98394030366055e-12,0.438257343772237,0.558092969878416,0.318421717666059,8.66260479861967e-10
34,NUSAP1,2.5864772414471e-12,-0.390533526887369,-0.300652211181374,-0.480414842593363,1.09613384035327e-09
35,IGFBP5,2.83703894711209e-12,0.594875614211666,0.749740293964524,0.440010934458807,1.16796840539823e-09
