,primerid,Pr(>Chisq),coef,ci.hi,ci.lo,fdr
1,GRP,2.61887999597986e-96,1.93989809902179,2.09125153705692,1.78854466098666,3.53234533857763e-92
2,SEC11C,3.34747426428356e-88,1.23544868916189,1.34655126564041,1.12434611268337,2.25753664383283e-84
3,TUBA1B,1.06375132328184e-32,-0.824600386857569,-0.694331525385461,-0.954869248329678,4.78262594947514e-29
4,IGFBP2,6.93248036009568e-29,0.945351314449412,1.14225068955799,0.748451939340836,2.33763237742426e-25
5,UBE2S,4.53087531175644e-27,-0.863196569711867,-0.711114036393598,-1.01527910303014,1.22224892409942e-23
6,TUBB,4.88756873018865e-26,-0.611211183314291,-0.502401219177,-0.720021147451582,1.09872545054641e-22
7,CKB,2.17906858350728e-22,-0.614641354535624,-0.485387557083553,-0.743895151987694,4.1987538649066e-19
8,STMN1,3.32576008343066e-22,-0.497544936503319,-0.39978143323417,-0.595308439772468,5.60723150066409e-19
9,SCGN,1.47732336267675e-21,0.728748849849984,0.864961365370853,0.592536334329115,2.21401527953156e-18
10,MLLT11,2.06541588284692e-21,-0.733461595721727,-0.597498034298109,-0.869425157145344,2.78583294278393e-18
11,HMGN2,7.88183594268172e-21,-0.552873355057873,-0.441335651545124,-0.664411058570623,9.66456392680828e-18
12,CHGA,6.62132095302949e-20,0.719268418252755,0.856216507494224,0.582320329011286,7.05437143522164e-17
13,HMGB1,6.79914210096985e-20,-0.606979717969746,-0.476680618286774,-0.737278817652717,7.05437143522164e-17
14,SNRPF,1.19798995964281e-19,-0.444334979146642,-0.345082131991345,-0.543587826301939,1.15417775540444e-16
15,PAFAH1B3,3.30728879455909e-19,-0.516267208604978,-0.397646163266612,-0.634888253943345,2.97391408406753e-16
16,HMGB2,8.03330284465842e-19,-0.796237881374557,-0.63736326747019,-0.955112495278923,6.73328227257041e-16
17,TMSB15A,8.48649159502498e-19,-0.571556358004776,-0.44245933800396,-0.700653378005592,6.73328227257041e-16
18,SNRPD1,2.2222478854269e-18,-0.525585383909079,-0.401687069260587,-0.649483698557571,1.66520441547989e-15
19,BIK,2.61501297629961e-18,0.636439600538228,0.771268754758959,0.501610446317497,1.8563839486489e-15
20,H2AFV,3.24670000123362e-18,-0.570295823403031,-0.438588171013547,-0.702003475792516,2.18957448083195e-15
21,PHGDH,5.9062290382237e-18,-0.6643886562246,-0.534022248693776,-0.794755063755423,3.79348653655054e-15
22,PRC1,9.69630650292819e-18,-0.512235412265431,-0.440382469232823,-0.584088355298038,5.94471736870434e-15
23,HMGN1,2.14832388256533e-17,-0.402923855159233,-0.311312195773903,-0.494535514544564,1.25985184904527e-14
24,RANBP1,3.95118548945911e-17,-0.491797498846892,-0.372972711585049,-0.610622286108735,2.22056624507602e-14
25,CCDC88A,4.82000053219869e-17,0.624826107865086,0.751663371958837,0.497988843771335,2.60048668713184e-14
26,UBE2T,5.84103046625814e-17,-0.541727075187981,-0.450648180222055,-0.632805970153907,3.03014688188037e-14
27,CBX1,7.20579673238013e-17,-0.495376093427841,-0.372696039348125,-0.618056147507556,3.59969578986456e-14
28,ASRGL1,1.44707533917243e-16,-0.609177672148163,-0.47667386157898,-0.741681482717347,6.97076863384204e-14
29,TOP2A,3.86320524412077e-16,-0.539526926279245,-0.462764154239639,-0.616289698318851,1.79679008043796e-13
30,ERH,5.10703185862636e-16,-0.401541817210292,-0.298117181402298,-0.504966453018286,2.29612152363841e-13
31,ILF2,6.52537611432013e-16,-0.533395660665894,-0.402350032725564,-0.664441288606225,2.83917009774032e-13
32,MS4A8,7.10472765775854e-16,0.658224956073596,0.807759857023775,0.508690055123418,2.99464270774522e-13
33,LDHB,2.19468516314941e-15,-0.504103327436048,-0.373564593119395,-0.634642061752701,8.97027681229069e-13
34,EEF1A1,2.4886341259131e-15,0.460754610002276,0.569547252239877,0.351961967764675,9.87255796773997e-13
35,HNRNPA3,2.7286195001555e-15,-0.471135628423409,-0.347161123389137,-0.59511013345768,1.05153199480278e-12
36,PPIA,3.04096855623845e-15,-0.370860672928383,-0.28242089880607,-0.459300447050695,1.13934955240401e-12
37,BCAM,3.19838687768476e-15,0.418077866092732,0.524600183737214,0.31155554844825,1.16594168124897e-12
38,CACNA1A,5.76968044055264e-15,0.545513055812941,0.667500250674252,0.423525860951629,2.04793288900458e-12
39,NUCKS1,7.2097922927243e-15,-0.555716801997989,-0.417131941185166,-0.694301662810811,2.49347893446834e-12
40,SMC4,8.67810674887399e-15,-0.580433093882231,-0.456596611100442,-0.70426957666402,2.92625759572031e-12
41,SNRPG,1.35455969621517e-14,-0.40943735069218,-0.304726706694031,-0.51414799469033,4.45617102013418e-12
42,HMGB3,1.65657699006463e-14,-0.559234190900698,-0.438284505236311,-0.680183876565085,5.31997867666468e-12
43,BNIP3L,1.97447114517867e-14,0.495666799159283,0.614969076380369,0.376364521938196,6.19341088515578e-12
44,RBP1,3.19384737708293e-14,-0.493250295704502,-0.362306585818933,-0.62419400559007,9.79059395956695e-12
45,HNRNPA2B1,3.3505596290036e-14,-0.399169547471271,-0.3003420572013,-0.497997037741242,1.00427440613334e-11
46,TOMM7,4.28380899075788e-14,0.386610237665072,0.488262223201788,0.284958252128355,1.25608729711614e-11
47,RAB3A,7.35304623131617e-14,0.262085026939201,0.344937384684825,0.179232669193576,2.11016782059558e-11
48,NDUFA4,7.83913632914753e-14,-0.448770800971577,-0.327031112689855,-0.570510489253299,2.20279730849045e-11
49,BIRC5,9.109383044297e-14,-0.268925721236515,-0.229115567525961,-0.308735874947069,2.50749711227506e-11
50,KIFC1,1.08579962123844e-13,NA,NA,NA,2.92905305825282e-11
51,NUSAP1,1.59009671969049e-13,-0.393266801289164,-0.326339188209453,-0.460194414368874,4.20533814807557e-11
52,MAP1B,2.24073712922122e-13,-0.435208365978112,-0.316484965955423,-0.5539317660008,5.81212738441074e-11
53,TYMS,3.0973800258734e-13,-0.580318444720799,-0.460025596519647,-0.700611292921951,7.88253996018497e-11
54,IDH2,3.43209117075235e-13,-0.455848316691417,-0.326747520460418,-0.584949112922415,8.57260105761254e-11
55,RNASEH2A,3.5461983165835e-13,-0.51431632173662,-0.403274809769661,-0.625357833703578,8.69656779892332e-11
56,CLIC1,3.90690684768755e-13,-0.355115806138763,-0.237369787441863,-0.472861824835663,9.4100642074303e-11
57,LSM4,4.48849109195894e-13,-0.470827127318611,-0.339747154093006,-0.601907100544216,1.06211873418144e-10
58,RIPPLY3,4.84378956517717e-13,-0.44301411267974,-0.351650146987373,-0.534378078372108,1.12643161474327e-10
59,HDGF,5.69800317177216e-13,-0.477255682516112,-0.350925890832998,-0.603585474199226,1.30262147086208e-10
