index	primerid	Pr(>Chisq)	coef	ci.hi	ci.lo	fdr	gene	log2fc	pval	mean	score
EIF1	EIF1	1.1028158911795398e-75	0.827697182217363	0.910051944357162	0.7453424200775641	1.4874780740229698e-71	EIF1	0.827697182217363	1.1028158911795398e-75	4.3067017	249.00341515522607
TAF1D	TAF1D	5.9246881116398295e-27	0.8012076437068321	0.9311284450334699	0.6712868423801939	2.4615964260804298e-23	TAF1D	0.8012076437068321	5.9246881116398295e-27	0.94539124	87.12531935252743
C6ORF48	C6ORF48	5.59288520924404e-19	0.6203596887193629	0.751899261797086	0.48882011564163996	1.07766908146119e-15	C6ORF48	0.6203596887193629	5.59288520924404e-19	2.0621116	60.63304108271945
DDIT3	DDIT3	3.73305201323548e-12	0.607406242300954	0.80350414969162	0.41130833491028795	1.9365925213276996e-09	DDIT3	0.607406242300954	3.73305201323548e-12	0.82623297	37.962781528557024
BTG2	BTG2	2.69396015845986e-09	-0.769131742836723	-0.569361868426103	-0.9689016172473441	7.26722692346132e-07	BTG2	-0.769131742836723	2.69396015845986e-09	1.4211079	-28.467624339346926
JUN	JUN	1.2851599926153698e-09	-0.635303705053326	-0.418646608673524	-0.851960801433128	4.22786292204782e-07	JUN	-0.635303705053326	1.2851599926153698e-09	2.8313515	-29.535404878859342
IGFBP5	IGFBP5	4.5735425151218e-10	-0.8146095016248851	-0.569366231666328	-1.05985277158344	1.58174208830674e-07	IGFBP5	-0.8146095016248851	4.5735425151218e-10	2.3373969	-31.025968886616372
CHGA	CHGA	1.66634776415422e-11	-0.787300132032136	-0.56451201377126	-1.01008825029301	8.027035229611459e-09	CHGA	-0.787300132032136	1.66634776415422e-11	2.0814047	-35.80451952345176
FOS	FOS	1.60712177202538e-11	-0.681363289521191	-0.45843806997678993	-0.904288509065591	8.027035229611459e-09	FOS	-0.681363289521191	1.60712177202538e-11	2.6522727	-35.85672979723628
MEST	MEST	1.3957509553577802e-13	-0.585942290241635	-0.42112649815446707	-0.750758082328802	1.17661805536661e-10	MEST	-0.585942290241635	1.3957509553577802e-13	3.121035	-42.70402368992728
TFF3	TFF3	7.17333370752236e-14	-0.898709182530707	-0.682748728038618	-1.11466963702279	6.45026166980411e-11	TFF3	-0.898709182530707	7.17333370752236e-14	2.2773328	-43.66434958110573
TUBA1B	TUBA1B	1.8721799039729898e-16	-0.6734882866758579	-0.510703515422289	-0.836273057929428	1.9424586572913602e-13	TUBA1B	-0.6734882866758579	1.8721799039729898e-16	4.8074217	-52.246130443266374
TUBA1A	TUBA1A	1.29540121510903e-18	-0.6287068090059239	-0.49505310327086205	-0.762360514740986	2.18404644867383e-15	TUBA1A	-0.6287068090059239	1.29540121510903e-18	4.947135	-59.421306705504456
SEC11C	SEC11C	1.77355446075508e-22	-0.81096620597049	-0.655231173426164	-0.9667012385148158	4.784340513332889e-19	SEC11C	-0.81096620597049	1.77355446075508e-22	4.280257	-72.25577445555452
ACTB	ACTB	7.30010802514954e-27	-0.6731859435880029	-0.5472115590398661	-0.799160328136139	2.4615964260804298e-23	ACTB	-0.6731859435880029	7.30010802514954e-27	5.044288	-86.82414074917237
HMGN2	HMGN2	2.95769513084317e-29	-0.789388457931793	-0.651934363374173	-0.9268425524894119	1.99466959624064e-25	HMGN2	-0.789388457931793	2.95769513084317e-29	4.4182673	-94.77144139973201
