,primerid,Pr(>Chisq),coef,ci.hi,ci.lo,fdr
1,HES6,3.00400777082918e-70,0.759557481858293,0.840189287475333,0.678925676241254,5.14196010132831e-66
2,IGFBP2,3.76134422772085e-21,0.419899064220769,0.507997375441842,0.331800752999696,3.21914645729489e-17
3,RAMP1,2.39692142677545e-15,0.409261512431709,0.504924048403007,0.313598976460412,1.36760346873718e-11
4,GLIPR2,7.04088765448539e-15,0.351217216135675,0.437894841018998,0.264539591252351,2.41037747963653e-11
5,PPP1R17,6.14500312892971e-15,0.395022465783896,0.488737520270499,0.301307411297294,2.41037747963653e-11
6,HTRA1,1.38157936838513e-13,0.354218970999505,0.439789577177566,0.268648364821444,3.61437815988754e-10
7,POLR2L,1.47810055028409e-13,0.302031128070536,0.376867826639542,0.227194429501529,3.61437815988754e-10
8,CST3,2.67436614308165e-13,0.326230548588339,0.412261648738939,0.24019944843774,5.72214065889108e-10
9,BCAN,3.88515101816203e-13,0.261324295288014,0.334387628712589,0.188260961863439,7.38912555309772e-10
10,DDIT3,7.51760596014923e-13,-0.431627456664087,-0.331671623685908,-0.531583289642267,1.18585607275756e-09
11,PCSK1N,7.62073774629498e-13,0.396076559227991,0.500372300819053,0.291780817636929,1.18585607275756e-09
12,SERF2,1.8166203286544e-12,0.220085779174098,0.284053762328299,0.156117796019896,2.59125751379812e-09
13,ANP32B,3.27900602379948e-12,-0.284968074940428,-0.205090078077464,-0.364846071803392,4.31744200841351e-09
14,CEBPG,4.53408485215114e-12,-0.26552838476947,-0.183817148171222,-0.347239621367718,5.1739953609514e-09
15,F10,4.28823518829571e-12,0.330505397265011,0.418768029029562,0.242242765500461,5.1739953609514e-09
16,PLEKHB1,4.26781857087516e-11,0.284107732294218,0.365631361910397,0.20258410267804,4.56576565485438e-08
17,TMEM5,5.33196140318905e-11,0.308158396801496,0.391737862045833,0.22457893155716,5.36865784343452e-08
18,CHST8,7.44111567210844e-11,0.301040898284201,0.382591967676581,0.21948982889182,6.98800769721126e-08
19,SLC44A3,7.75674161634714e-11,0.26208538942195,0.340484751601153,0.183686027242747,6.98800769721126e-08
20,FAM213A,9.76170099998734e-11,0.234283581129073,0.301975229970119,0.166591932288027,8.35455180083917e-08
21,MGST1,1.90745987981038e-10,0.237595506973181,0.319264611845582,0.155926402100779,1.55476146489116e-07
22,ATF5,2.95814732592605e-10,-0.370582863076334,-0.251965192019975,-0.489200534132694,2.30157308081255e-07
23,TMEM205,3.1396035915345e-10,0.249760942517338,0.323214317188037,0.176307567846639,2.33654759462157e-07
24,ARF5,3.36021647063707e-10,0.293167563117723,0.376309946139042,0.210025180096404,2.39653438866228e-07
25,TAGLN3,5.97465779432245e-10,0.297868459184815,0.382931394171142,0.212805524198488,4.09072869861669e-07
26,TCEB2,6.5451765724185e-10,0.195952487385767,0.258525103394296,0.133379871377238,4.30899182269567e-07
27,CENPF,1.04247584229073e-09,-0.550664566122056,-0.407510737655495,-0.693818394588616,6.60891073795944e-07
28,CPLX3,1.12325813250724e-09,0.297905683468424,0.385175886709787,0.21063548022706,6.86671766218802e-07
29,SH3BGRL3,2.46221001930906e-09,0.265901397383664,0.346298780748441,0.185504014018887,1.45329823794873e-06
30,PEPD,2.56264471731035e-09,0.283589137262071,0.367925234251538,0.199253040272605,1.46215965420671e-06
31,STC1,2.69772844284201e-09,-0.147443594024167,-0.114458314433588,-0.180428873614745,1.48958121793957e-06
32,APRT,5.67711616600009e-09,0.254382405643667,0.335512834930446,0.173251976356887,3.03672491916948e-06
33,NKX2-2,6.0710384368702e-09,0.285078870324127,0.378641562861918,0.191516177786337,3.1490292401184e-06
34,HSPA5,8.28218786043902e-09,-0.270045452904249,-0.175333542951759,-0.364757362856738,4.16959440020984e-06
35,SRGAP2,9.28016641815496e-09,-0.133428523430051,-0.0998895558788061,-0.166967490981296,4.53853167370167e-06
36,NEUROD1,1.04274011992966e-08,0.319686873734905,0.423096313560864,0.216277433908947,4.82394125211782e-06
37,UBE2T,1.03412105797659e-08,-0.296521669418663,-0.192204265794525,-0.4008390730428,4.82394125211782e-06
38,CDKAL1,1.15848012180416e-08,0.291060206256274,0.383222456073754,0.198897956438793,5.21834322234783e-06
39,ATP5G1,1.32714236129133e-08,0.226288013918458,0.301871471139272,0.150704556697644,5.63910192442114e-06
40,LGALS3BP,1.31880824819364e-08,0.26496876269627,0.348405567245241,0.1815319581473,5.63910192442114e-06
41,SAT1,1.3507225501038e-08,-0.26188952402965,-0.184142426973261,-0.339636621086039,5.63910192442114e-06
42,TMEM132A,1.84645668416887e-08,0.221791532280083,0.304198332626813,0.139384731933353,7.52519025307584e-06
43,DNAJC15,2.25781365115731e-08,0.20491790874287,0.274192393164241,0.135643424321498,8.98767355043249e-06
44,ACADS,2.33484773634824e-08,0.153169395114076,0.211113514172486,0.0952252760556664,9.08308834160746e-06
45,PRDX1,2.56960837116059e-08,0.248842351183642,0.330223895935295,0.167460806431989,9.63278258808849e-06
46,TRIB3,2.58870128557616e-08,-0.261140121693835,-0.18809332689753,-0.33418691649014,9.63278258808849e-06
47,ATF4,2.7850829740491e-08,-0.268201876250849,-0.179335833545938,-0.35706791895576,9.93172193058299e-06
48,KRT8,2.72842799713115e-08,0.26033377461115,0.346206104006925,0.174461445215374,9.93172193058299e-06
49,SCAND1,3.32995962443239e-08,0.225562414607024,0.299981570001555,0.151143259212493,1.16324324268182e-05
