index	primerid	Pr(>Chisq)	coef	ci.hi	ci.lo	fdr	gene	log2fc	pval	mean	score
DDIT3	DDIT3	6.6941943745605085e-71	0.963729709536328	1.0657090911988	0.8617503278738609	2.8952390669974193e-67	DDIT3	0.963729709536328	6.6941943745605085e-71	1.4122937	233.1139842948604
TRIB3	TRIB3	1.4632376546561497e-65	0.9037027207444109	1.01633481808813	0.791070623400689	5.062802285110289e-62	TRIB3	0.9037027207444109	1.4632376546561497e-65	0.77468514	215.37616206098483
ARG2	ARG2	1.7251043048402694e-61	0.6789467442805172	0.769726525211848	0.5881669633491861	4.263472067676659e-58	ARG2	0.6789467442805172	1.7251043048402694e-61	0.71562064	201.85093019404903
MTHFD2	MTHFD2	1.8718609318255397e-60	0.67648252201251	0.7514589025414891	0.601506141483532	4.047899265072739e-57	MTHFD2	0.67648252201251	1.8718609318255397e-60	1.3388593	198.4112124380311
TYMS	TYMS	1.4605781538100398e-58	0.93883665261923	1.0484927943264999	0.8291805109119609	2.2970910964467098e-55	TYMS	0.93883665261923	1.4605781538100398e-58	1.301926	192.12528994632868
CEBPG	CEBPG	3.5727350471424095e-58	0.644576918169804	0.722195131857968	0.56695870448164	5.15069302629697e-55	CEBPG	0.644576918169804	3.5727350471424095e-58	1.0283455	190.83480057536724
CEBPB	CEBPB	6.288491654699759e-50	0.604626163400302	0.689376055711107	0.519876271089497	5.725837138226629e-47	CEBPB	0.604626163400302	6.288491654699759e-50	1.3044246	163.44369072777852
KIAA0101	KIAA0101	4.1615432467629105e-49	0.719406598782198	0.8269273937956421	0.611885803768754	3.272486280409019e-46	KIAA0101	0.719406598782198	4.1615432467629105e-49	0.61820227	160.71735801977292
CLSPN	CLSPN	7.43170976985714e-43	0.5866363498278779	0.6758939871664511	0.497378712489305	4.433399276500979e-40	CLSPN	0.5866363498278779	7.43170976985714e-43	0.57477367	139.94921391882403
TUBB	TUBB	5.14147184122467e-42	0.764183304129693	0.8684384836954029	0.659928124563983	2.96491542843956e-39	TUBB	0.764183304129693	5.14147184122467e-42	2.606175	137.15879856863742
PTN	PTN	8.96975907959558e-41	0.589973191708386	0.686550197085042	0.49339618633172994	4.7497431678772e-38	PTN	0.589973191708386	8.96975907959558e-41	0.6768884	133.03398265432767
ATAD2	ATAD2	3.19260184853581e-40	0.6820016174979511	0.788715534405889	0.575287700590014	1.62447094057852e-37	ATAD2	0.6820016174979511	3.19260184853581e-40	0.7678978	131.20239115081043
ATF5	ATF5	2.17197051611923e-36	0.688950210130755	0.7913576138191071	0.586542806442403	8.16849781062234e-34	ATF5	0.688950210130755	2.17197051611923e-36	2.8654633	118.47040689684387
RRM2	RRM2	2.54902791134993e-36	0.663834941350695	0.783891000406216	0.543778882295174	9.38259209922422e-34	RRM2	0.663834941350695	2.54902791134993e-36	0.5568734	118.23946424527396
PCNA	PCNA	4.0660337313306704e-35	0.5923857849659029	0.68392206110444	0.500849508827366	1.4355588480004199e-32	PCNA	0.5923857849659029	4.0660337313306704e-35	2.2132375	114.24386113739948
UBE2T	UBE2T	2.69345524693983e-31	0.620298451155788	0.7212970845021279	0.519299817809447	6.38311996877521e-29	UBE2T	0.620298451155788	2.69345524693983e-31	1.2558584	101.55031284720717
TUBA1B	TUBA1B	2.15752027055874e-25	0.5896918384108559	0.6968348488952399	0.4825488279264721	2.8492443267684195e-23	TUBA1B	0.5896918384108559	2.15752027055874e-25	3.5540535	81.93882825815773
CHGA	CHGA	2.2352126521707398e-26	-0.77987695991015	-0.641389457755715	-0.918364462064586	3.33354990366843e-24	CHGA	-0.77987695991015	2.2352126521707398e-26	4.8212104	-85.20971837497468
PHGR1	PHGR1	9.29881525268909e-28	-0.6066912623752231	-0.510756012691966	-0.7026265120584799	1.6086950387152098e-25	PHGR1	-0.6066912623752231	9.29881525268909e-28	1.3713636	-89.79693974040511
TPH1	TPH1	1.53860010431133e-29	-0.690688961312755	-0.5884580610753171	-0.792919861550193	3.09509090751001e-27	TPH1	-0.690688961312755	1.53860010431133e-29	1.4680955	-95.7142964404668
KCTD12	KCTD12	2.7202758156849596e-33	-0.607565909309082	-0.511843430594474	-0.70328838802369	8.256275721289448e-31	KCTD12	-0.607565909309082	2.7202758156849596e-33	1.6825063	-108.17987419387086
RP5-984P4.6	RP5-984P4.6	8.73975194767672e-37	-0.6247824221585561	-0.5328656749714079	-0.716699169345703	3.51622578360017e-34	RP5-984P4.6	-0.6247824221585561	8.73975194767672e-37	1.6857679	-119.78374717720895
