,primerid,Pr(>Chisq),coef,ci.hi,ci.lo,fdr
1,HES6,1.46960843796383e-120,1.05704206553795,1.14031354470733,0.973770586368572,2.54242259767742e-116
2,GLIPR2,5.2859346601239e-24,0.452746477255328,0.541781978077184,0.363710976433471,4.57233348100718e-20
3,IGFBP2,1.14541954925051e-18,0.457510929331399,0.555148647519488,0.359873211143311,6.60525273401129e-15
4,RAMP1,8.38055448005509e-18,0.451436015823381,0.549684393481337,0.353187638165424,3.62458981262383e-14
5,SCAND1,1.67758153482162e-16,0.34440330470213,0.423265521728915,0.265541087675346,5.80443211048279e-13
6,DDIT3,2.70410025760151e-16,-0.557934842571514,-0.443824462787307,-0.672045222355722,7.79682240941768e-13
7,CBFA2T3,7.50230927574948e-16,0.366371162769719,0.448089794771912,0.284652530767526,1.85414214957809e-12
8,TAGLN3,3.8701914387729e-14,0.354608660216721,0.443491377613203,0.26572594282024,8.36928898634639e-11
9,NAP1L1,9.74630984371905e-14,-0.279141830239385,-0.204112194212483,-0.354171466266287,1.6861116029634e-10
10,QPCT,9.37587820776228e-14,0.348855450714395,0.438866362209908,0.258844539218882,1.6861116029634e-10
11,PPP1R17,1.96739036424146e-13,0.420680407553826,0.525566116914626,0.315794698193027,3.09416848194339e-10
12,HTRA1,3.07888322774288e-13,0.349938465423778,0.444703580250687,0.255173350596869,4.43872331999599e-10
13,GSTO1,4.18980539782899e-13,0.29537160573291,0.370885143351031,0.219858068114789,5.57566410634165e-10
14,PEPD,1.13523113951331e-12,0.294405156674366,0.369014263273833,0.2197960500749,1.4028213366843e-09
15,CHST8,4.29363892840628e-12,0.309441212277597,0.388346402298469,0.230536022256725,4.95199689742857e-09
16,ARPC5,6.61314728780616e-12,0.240906478851276,0.308480525409996,0.173332432292555,7.15046550494041e-09
17,PLEKHB1,9.44581898966253e-12,0.294325483021688,0.375178756715403,0.213472209327974,9.61250991300952e-09
18,TCEB2,1.15016544877046e-11,0.224930410834991,0.288472036122919,0.161388785547064,1.10543679242938e-08
19,CENPF,1.40892927902234e-11,-0.599144051055784,-0.472582521165426,-0.725705580946142,1.28286718563613e-08
20,SERF2,1.58739139814574e-11,0.206825219317933,0.263972883180506,0.14967755545536,1.37309355939606e-08
21,CDKAL1,1.82432607177854e-11,0.333710660398772,0.428522085811767,0.238899234985777,1.49588604296862e-08
22,SH3BGRL3,1.90228282920865e-11,0.301319763167234,0.385061282913217,0.217578243421251,1.49588604296862e-08
23,FAM78B,3.44470227589068e-11,0.299551276194802,0.38836352468813,0.210739027701474,2.59101519012647e-08
24,A1CF,4.44438160649047e-11,0.304331365662255,0.391156942458961,0.21750578886555,3.14939443641791e-08
25,PKIB,4.55114802950566e-11,0.322356448913307,0.411221236457968,0.233491661368645,3.14939443641791e-08
26,NKX2-2,5.8430987391927e-11,0.35576967619487,0.459484349056382,0.252055003333358,3.88790800723207e-08
27,PHGR1,9.91935806579465e-11,0.437519126490671,0.568785113332287,0.306253139649055,6.35573683474991e-08
28,CHMP2A,1.17818366658744e-10,0.25913522104472,0.332765035061371,0.185505407028068,7.2794919399867e-08
