,primerid,Pr(>Chisq),coef,ci.hi,ci.lo,fdr
1,GAPDH,4.28225816393427e-75,-0.491969443978185,-0.440941777338085,-0.542997110618285,6.66148079981615e-71
2,EEF1A1,3.87534155037525e-58,-0.389657830220229,-0.343552864067941,-0.435762796372517,3.01424065788187e-54
3,YBX1,1.80836368235553e-57,-0.44108505532532,-0.388049934146959,-0.494120176503681,9.37696848090757e-54
4,RACK1,7.92370815702842e-54,-0.376027346672499,-0.329621608110613,-0.422433085234384,3.08153010226835e-50
5,H3F3A,1.14021468050778e-52,-0.358932752676318,-0.314192604342408,-0.403672901010229,2.9561965949965e-49
6,TPT1,1.0370720909244e-52,-0.385335330848884,-0.336741374289801,-0.433929287407967,2.9561965949965e-49
7,NACA,5.35477427181452e-51,-0.383261905508826,-0.334583992637335,-0.431939818380317,1.18998383674781e-47
8,LDHB,9.93083633527251e-51,-0.347204552506551,-0.30231025314542,-0.392098851867682,1.93105112539374e-47
9,EEF1B2,1.38590521450397e-42,-0.306318166298971,-0.262164772747157,-0.350471559850785,2.39546016853597e-39
10,GNAS,3.0116076521832e-42,-0.31744294759519,-0.272862433286839,-0.362023461903541,4.68485686373619e-39
11,HNRNPA1,2.44481412509257e-40,-0.26429565184521,-0.226463929813685,-0.302127373876734,3.45741168453999e-37
12,STMN1,2.26441171620614e-38,-0.292802696962593,-0.248749987171828,-0.336855406753357,2.79196469711681e-35
13,TPI1,2.33321811921564e-38,-0.310060255527169,-0.264333829128407,-0.355786681925931,2.79196469711681e-35
14,GSTP1,5.65840566417965e-38,-0.329940206394713,-0.278548076770899,-0.381332336018527,6.2872970365699e-35
15,ACTG1,2.41215830587713e-37,-0.277552015113307,-0.235962126539284,-0.319141903687329,2.5015689737483e-34
16,PRDX2,2.21087125511805e-35,-0.333330024629654,-0.281500825361112,-0.385159223898196,2.14951957778853e-32
17,RBP1,3.55946891696949e-34,-0.352628830144032,-0.296709204175855,-0.408548456112209,3.25712343955161e-31
18,ENO1,1.00343479703091e-33,-0.281867847002966,-0.237001353449623,-0.326734340556308,8.67190650145156e-31
19,COX7C,1.89865542676755e-33,-0.283476293335996,-0.237949669648157,-0.329002917023835,1.40645161041886e-30
20,PPIA,1.89620944845165e-33,-0.260622247268464,-0.219195667498041,-0.302048827038886,1.40645161041886e-30
21,UQCRH,1.82245082882465e-33,-0.27789796527912,-0.232787551570374,-0.323008378987866,1.40645161041886e-30
22,EDF1,2.22305932751912e-33,-0.280474196430937,-0.235216174049307,-0.325732218812567,1.57190504085852e-30
23,NDUFS5,9.69205387047531e-33,-0.276390795476165,-0.231262149989062,-0.321519440963267,6.55519956561365e-30
24,MIF,1.08278380126111e-32,-0.290118248095376,-0.24131535877093,-0.338921137419822,6.87436395039482e-30
25,SON,1.10477692697268e-32,0.273478484274743,0.317484858218982,0.229472110330504,6.87436395039482e-30
26,FTL,4.5638557821018e-30,-0.321324806967472,-0.266931154923725,-0.37571845901122,2.62945705727317e-27
27,TUBA1B,4.44242396700646e-30,-0.260229064086163,-0.216802230868029,-0.303655897304298,2.62945705727317e-27
28,RBBP6,7.02945058282122e-30,0.291461156563438,0.355774237383965,0.227148075742911,3.90536190237025e-27
29,SLC3A2,8.77841646942012e-30,0.334825277400576,0.402569115267933,0.267081439533219,4.70886367580343e-27
30,SLC25A6,9.30228857604313e-30,-0.271832586915981,-0.225968937907451,-0.31769623592451,4.82354670296423e-27
31,ATP5E,1.52980043547328e-29,-0.279171095218426,-0.230585474125964,-0.327756716310889,7.48828450326171e-27
32,NBEAL1,1.54040308629709e-29,-0.311748655392686,-0.253993516420823,-0.36950379436455,7.48828450326171e-27
33,ANKRD11,2.13877098674131e-29,0.298636869999373,0.350335198507556,0.24693854149119,1.00820368090145e-26
34,BTF3,8.72295628627181e-29,-0.289830040614057,-0.238814775241561,-0.340845305986553,3.99100905850719e-26
35,MYL6B,9.48554749360603e-28,-0.28623907388952,-0.233313551402444,-0.339164596376595,4.21591933744387e-25
36,PEBP1,3.30702025422059e-27,-0.24536221601891,-0.201922722596325,-0.288801709441494,1.42900019651821e-24
37,NDUFB11,8.04735034607325e-27,-0.249779413024383,-0.203815380775509,-0.295743445273258,3.38336708063555e-24
38,ATF4,1.35541100790919e-26,0.286628292675992,0.340945076799373,0.232311508552612,5.54862464185142e-24
39,SERF2,9.16417509248968e-26,-0.222494725046321,-0.181844212352962,-0.26314523773968,3.65533096766075e-23
40,FTH1,1.10915325030565e-25,-0.267666504413582,-0.217684441176374,-0.317648567650789,4.31349699043866e-23
41,NDUFA4,5.61498983939559e-25,-0.293475419427612,-0.235289336111249,-0.351661502743975,2.1304093156497e-22
42,NHP2,6.67327162795206e-25,-0.272310678440017,-0.215072962810555,-0.329548394069478,2.47165270105767e-22
43,LDHA,1.36068548297329e-24,-0.264054489628388,-0.212922435929785,-0.315186543326992,4.9225170635192e-22
44,ACTB,1.7465860921447e-24,-0.225728827547477,-0.18319152423368,-0.268266130861274,6.17497573850067e-22
45,SLC25A5,1.83483690451694e-24,-0.263111902311561,-0.212567820326072,-0.31365598429705,6.34282730814789e-22
46,ATP5G2,3.0378596500035e-24,-0.221054431770369,-0.178469309650229,-0.263639553890509,1.02732488511857e-21
47,ALDOA,4.95753563461956e-24,-0.246689033357735,-0.197756895854569,-0.295621170860901,1.64083881557749e-21
48,TFRC,1.13133280303221e-23,0.286694365793421,0.346802170317078,0.226586561269763,3.66646105916023e-21
49,SSR4,1.63704010798234e-23,-0.250902612465012,-0.20194979264164,-0.299855432288385,5.19710120811699e-21
50,PRRC2B,1.99642934670523e-23,0.260156388144573,0.317008159271357,0.20330461701779,6.2112909834693e-21
51,MZT2B,2.41213545352944e-23,-0.212636350763473,-0.171709170579631,-0.253563530947314,7.35748610100077e-21
52,COX6C,2.67127744144175e-23,-0.226854225758978,-0.182546460360609,-0.271161991157347,7.99122920751304e-21
53,COX7A2,2.82538661775596e-23,-0.256902763445354,-0.206086505820272,-0.307719021070435,8.29277626902108e-21
54,COX6B1,3.13976561705092e-23,-0.212888572682612,-0.170064473124201,-0.255712672241022,9.04485072941557e-21
55,TXN,4.66012086616135e-23,-0.245153226662506,-0.193734322254517,-0.296572131070495,1.31805163989102e-20
56,CELF1,6.82113137394966e-23,0.270292830933561,0.322439226033296,0.218146435833826,1.8948128509493e-20
57,TUBB,8.77902827621184e-23,-0.211728402364396,-0.170662934743823,-0.25279386998497,2.39590462920617e-20
58,KDM5A,1.64270637775511e-22,0.261875256705911,0.315038845504842,0.208711667906981,4.40585179523422e-20
59,MED6,2.31363663240637e-22,0.213750195401322,0.270741705692799,0.156758685109846,6.03693741307361e-20
60,PTMA,2.32846647457197e-22,-0.211754682848497,-0.170497962860976,-0.253011402836017,6.03693741307361e-20
61,UQCRB,4.69836743091744e-22,-0.196063066108541,-0.151514837550998,-0.240611294666083,1.19816071730085e-19
62,ATP5I,7.09165750598548e-22,-0.202631638633622,-0.159322898305582,-0.245940378961661,1.75107657401762e-19
63,SLC38A1,6.98884921470877e-22,0.246783382021751,0.302915090397626,0.190651673645876,1.75107657401762e-19
64,PPP4R3A,8.10836279190869e-22,0.25353842737241,0.308344902549625,0.198731952195196,1.97083893110831e-19
65,DBI,2.01963263344347e-21,-0.280332611773852,-0.220596681887244,-0.340068541660459,4.78591503789596e-19
66,HMGN2,2.03053736501114e-21,-0.215627720693216,-0.170982841930045,-0.260272599456387,4.78591503789596e-19
67,CKB,5.21163022163862e-21,-0.261429304932567,-0.204857443473624,-0.31800116639151,1.21003163772851e-18
68,SNRPD2,6.87479355852722e-21,-0.203038741952724,-0.158773960777515,-0.247303523127933,1.57271012641837e-18
69,HMGA1,1.35687784560706e-20,-0.227414850169256,-0.180105687408421,-0.274724012930092,3.05907127047295e-18
70,HINT1,1.44740746899263e-20,-0.232709091203865,-0.184321191764398,-0.281096990643333,3.17124937854216e-18
