index	primerid	Pr(>Chisq)	coef	ci.hi	ci.lo	fdr	gene	log2fc	pval	mean	score
HSPE1	HSPE1	1.2290206789401496e-72	0.7946732037126608	0.87963741554501	0.709708991880313	3.82372913631859e-69	HSPE1	0.7946732037126608	1.2290206789401496e-72	3.4767954	238.881313641848
TCEAL9	TCEAL9	4.069464732403789e-69	1.00449516619305	1.11313446294395	0.895855869442141	1.0550765562878898e-65	TCEAL9	1.00449516619305	4.069464732403789e-69	2.9141996	227.1881995018006
HSPA1B	HSPA1B	8.083597928457169e-64	1.2602397870737199	1.4182007408193502	1.1022788333280902	1.3972049930564396e-60	HSPA1B	1.2602397870737199	8.083597928457169e-64	1.4395298	209.5884005077592
JUN	JUN	2.2092786241816196e-59	1.210259681511	1.35874717765331	1.0617721853686801	3.12432166161539e-56	JUN	1.210259681511	2.2092786241816196e-59	2.5278206	194.85018222204383
RGS2	RGS2	3.399438953882419e-52	0.80317037836649	0.9295445701498921	0.676796186583087	3.5254448244396594e-49	RGS2	0.80317037836649	3.399438953882419e-52	0.65708786	170.9749642716744
HSPA1A	HSPA1A	9.248046085029668e-52	1.4840724662654998	1.6672094165690499	1.30093551596195	8.9914128061701e-49	HSPA1A	1.4840724662654998	9.248046085029668e-52	3.059762	169.53111234702246
DNAJB1	DNAJB1	1.2705013994350099e-49	1.4389786446838	1.6194250633206897	1.2585322260469098	1.0402063036637398e-46	DNAJB1	1.4389786446838	1.2705013994350099e-49	2.3985825	162.4290786849853
NEUROD1	NEUROD1	1.4059861039159599e-46	0.690412011910422	0.783384231325953	0.5974397924948921	1.09357599162583e-43	NEUROD1	0.690412011910422	1.4059861039159599e-46	3.3112426	152.3171100292351
HSPA6	HSPA6	3.33969579161566e-45	1.4253705327107	1.64771452823521	1.20302653718619	2.4739194159225398e-42	HSPA6	1.4253705327107	3.33969579161566e-45	1.125896	147.74704757439227
SLC38A2	SLC38A2	5.028100565454821e-45	0.705174560377979	0.799400101684377	0.6109490190715811	3.5553241998279603e-42	SLC38A2	0.705174560377979	5.028100565454821e-45	1.5701412	147.15675076499548
C1ORF52	C1ORF52	5.3059351816658287e-45	0.610361695633615	0.71333381111966	0.5073895801475711	3.58865772547799e-42	C1ORF52	0.610361695633615	5.3059351816658287e-45	0.68251234	147.07915721849972
FAM46A	FAM46A	3.8321109168450896e-44	0.77096563550871	0.8932218933632851	0.648709377654135	2.48384655926843e-41	FAM46A	0.77096563550871	3.8321109168450896e-44	0.55909175	144.2266968559149
MYCN	MYCN	2.0358855310828303e-40	0.8746223468827591	1.0050505154698002	0.7441941782957241	1.0216204942427197e-37	MYCN	0.8746223468827591	2.0358855310828303e-40	4.2840323	131.85146734821728
SAT1	SAT1	3.4076491329140493e-40	0.808203123374144	0.926783454029102	0.6896227927191861	1.6565434347378397e-37	SAT1	0.808203123374144	3.4076491329140493e-40	1.1624163	131.10834699874061
TAF7	TAF7	5.500930107181059e-40	0.597322723777962	0.690706222116855	0.503939225439068	2.5931051135548104e-37	TAF7	0.597322723777962	5.500930107181059e-40	1.015335	130.41744822275373
RSRC2	RSRC2	5.258590238947449e-39	0.6440513527532801	0.7369101947374351	0.551192510769125	2.40595969873725e-36	RSRC2	0.6440513527532801	5.258590238947449e-39	1.8453851	127.16051961741661
TAF1D	TAF1D	1.06677100907925e-38	0.5975072630764371	0.6842713133737379	0.510743212779136	4.51816708524451e-36	TAF1D	0.5975072630764371	1.06677100907925e-38	2.0945363	126.14001708234176
SOX4	SOX4	1.0746476096300301e-38	0.666000908317318	0.768014255828785	0.563987560805852	4.51816708524451e-36	SOX4	0.666000908317318	1.0746476096300301e-38	3.3294456	126.12940394607631
DNAJB4	DNAJB4	5.06489755635507e-38	0.608535281517556	0.729487180110324	0.48758338292478703	2.07340911543841e-35	DNAJB4	0.608535281517556	5.06489755635507e-38	0.3599438	123.89273451664067
MTRNR2L8	MTRNR2L8	6.55971276144347e-38	0.670070812807519	0.7767902885893521	0.5633513370256861	2.6164844030003797e-35	MTRNR2L8	0.670070812807519	6.55971276144347e-38	0.78896457	123.51963496263156
MCL1	MCL1	1.20345060021204e-37	0.602546887820028	0.696405805704394	0.508687969935661	4.68021938422464e-35	MCL1	0.602546887820028	1.20345060021204e-37	1.0636741	122.64416258820722
DNAJA1	DNAJA1	1.3094006629739997e-36	0.6650682573177751	0.7648920030543291	0.565244511581222	4.849770646005609e-34	DNAJA1	0.6650682573177751	1.3094006629739997e-36	2.2393196	119.20050480144236
