,primerid,Pr(>Chisq),coef,ci.hi,ci.lo,fdr
1,TFF3,1.66733647283056e-27,0.357538046449537,0.419939785965357,0.295136306933716,2.16847527458239e-23
2,TOP2A,2.84782359259622e-27,-0.312051441751653,-0.262503050705742,-0.361599832797565,2.16847527458239e-23
3,CENPF,1.22030275330715e-25,-0.291077088488269,-0.243042826886333,-0.339111350090204,4.50606932597589e-22
4,MKI67,9.08283371187535e-26,-0.133975334568894,-0.112360175746675,-0.155590493391113,4.50606932597589e-22
5,RETNLB,1.47943703656704e-25,0.404184811315542,0.4793189856517,0.329050636979384,4.50606932597589e-22
6,SMC4,2.61023257811097e-24,-0.24646115957977,-0.198400977829199,-0.294521341330341,6.62520532200867e-21
7,NDC80,4.77475224504146e-24,-0.120289905842639,-0.100510781157955,-0.140069030527324,1.03878145628195e-20
8,CDKN3,1.83217034948161e-23,-0.177448725025998,-0.147615165368181,-0.207282284683815,3.43277958882335e-20
9,KIF23,2.02869632276644e-23,-0.0870137467697678,-0.0718175331156276,-0.102209960423908,3.43277958882335e-20
10,PRC1,3.08377981873583e-22,-0.146553729345811,-0.121389942573205,-0.171717516118417,4.6962882859528e-19
11,BIRC5,3.51781569547047e-22,-0.144364877680532,-0.119735564721629,-0.168994190639434,4.87025592966544e-19
12,NUF2,4.79288936620103e-22,-0.141912933089344,-0.117414706016774,-0.166411160161914,6.08257601315629e-19
13,CKS1B,6.85557886132068e-22,-0.226349356414157,-0.174737160317127,-0.277961552511187,8.03104695992713e-19
14,AURKB,7.87438388378823e-22,-0.109866366394739,-0.0909256471128715,-0.128807085676606,8.5656422975865e-19
15,FAM64A,1.10797967800624e-21,-0.119471584859497,-0.0987470652882492,-0.140196104430745,1.1248948344238e-18
16,UBE2C,1.20852701382676e-21,-0.205513439079634,-0.169086041903321,-0.241940836255947,1.15029111834799e-18
17,HMGB2,1.4685388610711e-21,-0.251564640268832,-0.190767873216757,-0.312361407320906,1.31555166560304e-18
18,PBK,3.09232626245934e-19,-0.144890994649808,-0.117701020980392,-0.172080968319224,2.61627981394407e-16
19,ANP32E,5.21000693405188e-19,-0.252375029815675,-0.195181830270227,-0.309568229361124,4.17595766308821e-16
20,KIFC1,6.74317734896836e-19,-0.0882291154884743,-0.0715820443035642,-0.104876186673384,5.13459239237196e-16
21,GRP,7.85241791226378e-19,0.231460559707211,0.307129502719356,0.155791616695067,5.6944986850412e-16
22,CCNB2,1.32461615324417e-18,-0.133087913309613,-0.108167711339945,-0.15800811527928,9.16935427170704e-16
23,KLK12,2.71964989142133e-18,0.209524143122463,0.264095414053646,0.15495287219128,1.80076296506328e-15
