index	primerid	Pr(>Chisq)	coef	ci.hi	ci.lo	fdr	gene	log2fc	pval	mean	score
HMGN2	HMGN2	1.1858259538323595e-234	0.8850533141146658	0.934415004597245	0.835691623632088	1.8058943450912888e-230	HMGN2	0.8850533141146658	1.1858259538323595e-234	3.6722703	777.0852819256045
CKS1B	CKS1B	8.409985832357867e-214	1.17038222202573	1.2537239572920502	1.0870404867594101	6.403783712048898e-210	CKS1B	1.17038222202573	8.409985832357867e-214	0.78908706	707.820508935808
UBE2S	UBE2S	2.0969661571997993e-188	0.983200856968188	1.04512576096017	0.921275952976211	1.0644899202665196e-184	UBE2S	0.983200856968188	2.0969661571997993e-188	2.539492	623.454178260763
HMGB2	HMGB2	2.5136459487658592e-163	1.0189450590234002	1.09908087196833	0.938809246078474	8.982273287413917e-160	HMGB2	1.0189450590234002	2.5136459487658592e-163	1.213855	540.1444980085804
HMGB1	HMGB1	2.949068647781839e-163	0.667213366976144	0.712311193694041	0.6221155402582471	8.982273287413917e-160	HMGB1	0.667213366976144	2.949068647781839e-163	4.335406	539.9140200611066
CDKN3	CDKN3	6.825303641057937e-163	0.889760497362249	0.9691110222181271	0.810409972506371	1.7323758191611897e-159	CDKN3	0.889760497362249	6.825303641057937e-163	0.35969737	538.7033862372077
ANP32E	ANP32E	1.7962951086058795e-162	0.9221314941385591	0.9875361810065171	0.8567268072705999	3.907968315565569e-159	ANP32E	0.9221314941385591	1.7962951086058795e-162	1.1658067	537.3073269856227
TOP2A	TOP2A	2.606816483971429e-161	1.25901678927235	1.3579043292472	1.16012924929751	4.9624010293001085e-158	TOP2A	1.25901678927235	2.606816483971429e-161	0.6928339	533.4481342540162
UBE2C	UBE2C	2.2518085537773795e-155	1.0246962270695101	1.1166872724315702	0.9327051817074591	3.810310273941739e-152	UBE2C	1.0246962270695101	2.2518085537773795e-155	0.43823174	513.7277705312139
HIST1H4C	HIST1H4C	9.427669712935398e-154	1.1777370287129099	1.25999230261773	1.09548175480809	1.4357398205829295e-150	HIST1H4C	1.1777370287129099	9.427669712935398e-154	3.5156062	508.3400253962652
