index	primerid	Pr(>Chisq)	coef	ci.hi	ci.lo	fdr	gene	log2fc	pval	mean	score
VEGFA	VEGFA	2.982522949029469e-162	1.03774471505615	1.1099822181857701	0.965507211926532	2.3828867101270894e-158	VEGFA	1.03774471505615	2.982522949029469e-162	0.8166619	536.5758181329693
EIF1	EIF1	4.775513702200859e-156	0.68674572163654	0.7356760595059201	0.637815383767161	2.543597781582249e-152	EIF1	0.68674572163654	4.775513702200859e-156	3.6015131	515.9651268701691
NDRG1	NDRG1	2.2709315549429097e-131	0.817949822838812	0.8919524138334979	0.743947231844126	7.257443063286569e-128	NDRG1	0.817949822838812	2.2709315549429097e-131	0.41911912	433.98929620585204
EPB41L4A-AS1	EPB41L4A-AS1	2.73183650803139e-108	0.73900463813866	0.8009272778034531	0.677081998473868	6.236002223119079e-105	EPB41L4A-AS1	0.73900463813866	2.73183650803139e-108	0.9883493	357.31836310246126
ALDOA	ALDOA	5.200640434903579e-107	0.854342451910446	0.9276173866860851	0.7810675171348059	8.310103350932427e-104	ALDOA	0.854342451910446	5.200640434903579e-107	2.6930473	353.0676168575081
TPT1	TPT1	1.1109247478812398e-106	0.587467168508788	0.6382779850798989	0.536656351937676	1.6137696860358396e-103	TPT1	0.587467168508788	1.1109247478812398e-106	4.052257	351.9726169636876
BNIP3	BNIP3	5.299608854665598e-105	1.0730382295261	1.16151621070075	0.9845602483514508	7.056870824058458e-102	BNIP3	1.0730382295261	5.299608854665598e-105	1.9083524	346.39656407977236
S100A10	S100A10	3.068632638953889e-94	0.8787505239180771	0.9748558483432141	0.7826451994929391	3.502405781274589e-91	S100A10	0.8787505239180771	3.068632638953889e-94	0.4991697	310.6436449753613
FTL	FTL	5.906575567113008e-92	0.623982415600947	0.6825974710762541	0.56536736012564	5.8988231866811776e-89	FTL	0.623982415600947	5.906575567113008e-92	4.1249127	303.05506278268786
DDIT4	DDIT4	6.5497163516979985e-90	0.7961051373377751	0.8840698345240429	0.708140440151508	6.15634809316367e-87	DDIT4	0.7961051373377751	6.5497163516979985e-90	0.5418771	296.2620961105957
