,primerid,Pr(>Chisq),coef,ci.hi,ci.lo,fdr
1,SEC11C,1.82190434546044e-17,-1.22524427217632,-0.89036456522313,-1.5601239791295,1.86253281236421e-13
2,GRP,1.47172018843445e-16,-2.02939597731456,-1.58876884680191,-2.47002310782721,7.52269774318268e-13
3,PPP1R14B,3.75534318469658e-09,-1.09844155804953,-0.746559806630403,-1.45032330946865,1.27969577923844e-05
4,P4HA1,5.60377677540573e-08,0.712991699307115,1.04759087896575,0.378392519648483,0.000143218524937432
5,VEGFA,4.36752165517318e-07,0.486527216705707,0.935547380073102,0.0375070533383129,0.000892983477616709
6,APEH,1.17108803999078e-06,0.0271941416344853,0.195645977450377,-0.141257694181406,0.00199533883880428
7,CD99,4.7990271333527e-06,0.0777425212237329,0.325935711031318,-0.170450668583853,0.00700863634060924
8,SLC25A37,5.93774719812063e-06,0.427521554587343,0.658264561827168,0.196778547347517,0.0075876987007984
9,ERO1A,6.91707768917002e-06,0.674106730792414,1.03721733544524,0.310996126139587,0.00785703169070946
10,CD24,8.91103169935161e-06,-0.759357532227323,-0.41863056543258,-1.10008449902207,0.00828158882386104
11,NMRAL1,8.53369822427892e-06,0.454861736964823,0.694663084184412,0.215060389745233,0.00828158882386104
12,AES,1.07072793857545e-05,-0.733577928268456,-0.424575859635169,-1.04257999690174,0.00912170976338065
13,ABCA1,1.74327375848961e-05,0.122177523640191,0.219362371250404,0.0249926760299769,0.0137088366407994
14,RBMS1,2.20810293655956e-05,0.176493513575033,0.294890017265219,0.0580970098848468,0.0161238830860346
15,SMS,2.64405704663355e-05,-0.887053413580372,-0.529057880715951,-1.24504894644479,0.0180201301251565
16,FTL,3.0969366067242e-05,0.530324618256599,0.813349907060741,0.247299329452456,0.0186235193709067
17,LSM4,3.00746936377432e-05,-0.810247923502186,-0.480551919706681,-1.13994392729769,0.0186235193709067
18,INSM1,3.50349779237917e-05,-0.935521529910189,-0.537223110927591,-1.33381994889279,0.0198979210730512
19,SOBP,4.05556067020623e-05,0.490869237904472,0.74672610248279,0.235012373326154,0.0218210509113254
20,MLLT11,4.59183861082552e-05,-0.692048587465277,-0.383135742440858,-1.0009614324897,0.0223535076754616
21,TUBB2B,4.41631044421552e-05,-0.730030918423838,-0.405476038189246,-1.05458579865843,0.0223535076754616
22,MPV17L2,5.16350815690254e-05,NA,NA,NA,0.0234523987401497
23,NRN1,5.27638825221015e-05,0.512442663921911,0.902426542992823,0.122458784851,0.0234523987401497
24,PGK1,5.70465780764002e-05,0.0920578769812603,0.492658442327305,-0.308542688364784,0.0242994653197933
25,CYB5A,6.18943497512681e-05,-0.695934806035495,-0.386327815424563,-1.00554179664643,0.0246195287523921
26,DTX3L,6.26144720299516e-05,0.257642428738541,0.427494504477701,0.0877903529993815,0.0246195287523921
27,C7ORF73,8.33908957862447e-05,-0.500514432332138,-0.205733684603126,-0.795295180061151,0.0261367122621824
28,CDKN2A,8.30725313261003e-05,-0.6816179338648,-0.330684687097325,-1.03255118063227,0.0261367122621824
