,primerid,Pr(>Chisq),coef,ci.hi,ci.lo,fdr
1,IFI27,3.54521848821181e-48,1.6285563290921,1.84112907003792,1.41598358814628,5.33555382475878e-44
2,IFITM3,1.4320605918011e-42,1.29825855222304,1.47834815198604,1.11816895246005,1.07762559533033e-38
3,IFI6,4.7120151007926e-41,1.45014508837574,1.65407358426357,1.2462165924879,2.36386090889762e-37
4,BST2,2.73653624349103e-23,0.676149218401246,0.805943120883846,0.546355315918647,1.0296217616135e-19
5,MX1,2.40953642896625e-20,0.952286123209127,1.14100805435083,0.763564192067427,7.2527046511884e-17
6,B2M,2.43261148963068e-19,0.553300285053001,0.669685349377003,0.436915220728999,6.10180048649028e-16
7,WIPF3,2.71028758245531e-18,0.0186031025619537,0.10473616989348,-0.0675299647695729,5.82711830227892e-15
8,EPSTI1,1.92802955272423e-17,0.603943776616707,0.762793690009218,0.445093863224197,3.62710559606246e-14
9,LY6E,4.70125397503445e-17,0.801245828175386,0.97010374774755,0.632387908603222,7.86154136936316e-14
10,IFI44L,6.86012015851182e-17,0.665821301915767,0.850720292351111,0.480922311480424,1.03244808385603e-13
11,HLA-C,2.03123920955058e-16,0.535719361194549,0.661491581868779,0.409947140520318,2.77910455488511e-13
12,OAS1,3.87885556608145e-16,0.624934560610823,0.771694425372088,0.478174695849558,4.86473135579382e-13
13,UBE2L6,6.33176590701448e-15,0.547567643066184,0.674239371958796,0.420895914173572,7.33023668465908e-12
14,IFIT1,7.29426441911024e-14,0.615304913154501,0.794196543948633,0.43641328236037,7.5694098584148e-11
15,IRF7,7.54426231735694e-14,0.587337119731439,0.735383790545939,0.439290448916939,7.5694098584148e-11
16,SIX2,8.97160758183694e-14,0.0168215532968802,0.0931415584638502,-0.0594984518700898,8.43891838166538e-11
17,ACAD10,2.64091041914562e-13,0.0122872156146639,0.10159166763206,-0.0770172364027327,2.20809454489675e-10
18,PSMB8,2.54865097697794e-13,0.432458428997317,0.544262471635766,0.320654386358868,2.20809454489675e-10
19,AFP,6.78120692058323e-13,0.699412255717681,0.89405635048209,0.504768160953272,5.37142969235672e-10
20,USP18,1.84598488243498e-12,0.479269917951049,0.605328084581158,0.35321175132094,1.38910362403232e-09
21,ENO1,6.26415635898995e-12,-0.448144169996995,-0.323567818950382,-0.572720521043608,4.48931205727613e-09
22,IFI44,2.52930834396739e-11,0.471019750082742,0.611706129249034,0.330333370916451,1.73027684439588e-08
23,PLSCR1,3.90021684497169e-11,0.511389451487874,0.646092414044852,0.376686488930896,2.55209841377496e-08
24,ADGRB2,4.84031187717761e-11,0.0067490655618828,0.0826499030690601,-0.0691517719452945,3.00113593298945e-08
25,RARRES3,4.9852756361951e-11,0.410161155153369,0.546419902670588,0.27390240763615,3.00113593298945e-08
26,SOD1,6.65505084992378e-11,0.344875403134513,0.443251986800281,0.246498819468746,3.85225058812895e-08
27,MYL6,7.94319925418261e-11,0.289146703057534,0.372619637591854,0.205673768523214,4.42759810279438e-08
28,LDHA,1.14744443625197e-10,-0.54436001057236,-0.386850591930515,-0.701869429214206,6.16751384485432e-08
29,BEX3,1.3220192259637e-10,0.320957042305398,0.425226814596618,0.216687270014178,6.86082391405301e-08
30,IFIT3,1.50391231504276e-10,0.498809340331542,0.684734069499232,0.312884611163852,7.30125172303015e-08
31,PSMB9,1.47128966580478e-10,0.505663779023335,0.653120426533497,0.358207131513174,7.30125172303015e-08
32,TMEM64,2.6801944539859e-10,-0.00277360977188705,0.0712894955543757,-0.0768367150981498,1.26052895414024e-07
33,ISG15,5.07136358095455e-10,0.703727141651003,0.933337323241053,0.474116960060954,2.31284914828382e-07
34,HERC6,6.06334895293103e-10,0.324324037263791,0.440834308902125,0.207813765625456,2.68392358063565e-07
35,ZNF582-AS1,1.20494522029661e-09,0.01398001622643,0.0815081744112081,-0.0535481419583482,5.18126444727541e-07
36,XAF1,1.38307283394992e-09,0.246876748456635,0.363191253078449,0.130562243834821,5.78201281970729e-07
37,MLLT11,1.80872088333088e-09,0.379176201983012,0.493599332741002,0.264753071225022,7.35709440381884e-07
38,HLA-A,2.22247347318209e-09,0.438743283793845,0.575479577595866,0.302006989991824,8.8021646766817e-07
39,SIRPA,2.34245747686534e-09,-0.0306356507749804,0.0396531604529198,-0.100924462002881,9.0394833402111e-07
40,RP11-480A16.1,2.71847537360165e-09,0.0218857452777157,0.0982183714397235,-0.0544468808842922,1.02282635931762e-06
41,CCDC173,3.47109378028721e-09,0.00715775250709255,0.0734780758241983,-0.0591625708100132,1.27414539983713e-06
42,DDX60L,4.59718846283015e-09,0.32527893027548,0.444455970309155,0.206101890241805,1.64732586584747e-06
43,HLA-B,5.78438791185544e-09,0.454116352441552,0.598202126908011,0.310030577975093,2.0245357691494e-06
44,GPI,6.73829628827812e-09,-0.47489557863138,-0.324046690662958,-0.625744466599802,2.30480361678604e-06
45,SERF2,7.72256259738627e-09,0.276299745935495,0.366292963304839,0.186306528566152,2.5827681575703e-06
46,MDK,8.23564402929744e-09,0.321462372051092,0.430372596144096,0.212552147958087,2.6944878834984e-06
47,RNF213,8.72840772882716e-09,0.453643022588521,0.597876956813001,0.309409088364042,2.7949475812521e-06
