index	primerid	Pr(>Chisq)	coef	ci.hi	ci.lo	fdr	gene	log2fc	pval	mean	score
IFI27	IFI27	3.5452184882118096e-48	1.6285563290921	1.84112907003792	1.4159835881462801	5.335553824758779e-44	IFI27	1.6285563290921	3.5452184882118096e-48	5.75882	157.62667401255982
IFITM3	IFITM3	1.4320605918011002e-42	1.29825855222304	1.4783481519860402	1.11816895246005	1.0776255953303299e-38	IFITM3	1.29825855222304	1.4320605918011002e-42	3.3138325	139.00288744962123
IFI6	IFI6	4.712015100792601e-41	1.45014508837574	1.65407358426357	1.2462165924879	2.3638609088976196e-37	IFI6	1.45014508837574	4.712015100792601e-41	3.5900512	133.9627077277407
BST2	BST2	2.73653624349103e-23	0.676149218401246	0.805943120883846	0.546355315918647	1.0296217616135e-19	BST2	0.676149218401246	2.73653624349103e-23	4.2326927	74.95199521825987
MX1	MX1	2.40953642896625e-20	0.9522861232091271	1.14100805435083	0.7635641920674271	7.2527046511884e-17	MX1	0.9522861232091271	2.40953642896625e-20	1.2282015	65.16980628488612
EPSTI1	EPSTI1	1.92802955272423e-17	0.603943776616707	0.762793690009218	0.44509386322419703	3.62710559606246e-14	EPSTI1	0.603943776616707	1.92802955272423e-17	0.3472778	55.52565044780259
LY6E	LY6E	4.70125397503445e-17	0.801245828175386	0.97010374774755	0.632387908603222	7.861541369363161e-14	LY6E	0.801245828175386	4.70125397503445e-17	1.3488147	54.23973199198229
IFI44L	IFI44L	6.86012015851182e-17	0.6658213019157672	0.850720292351111	0.480922311480424	1.03244808385603e-13	IFI44L	0.6658213019157672	6.86012015851182e-17	0.40319037	53.694543766924546
OAS1	OAS1	3.87885556608145e-16	0.6249345606108231	0.771694425372088	0.47817469584955796	4.864731355793821e-13	OAS1	0.6249345606108231	3.87885556608145e-16	0.728124	51.19521846183802
IFIT1	IFIT1	7.294264419110239e-14	0.615304913154501	0.7941965439486329	0.43641328236037	7.5694098584148e-11	IFIT1	0.615304913154501	7.294264419110239e-14	0.41006094	43.64023082970536
IRF7	IRF7	7.54426231735694e-14	0.587337119731439	0.735383790545939	0.43929044891693897	7.5694098584148e-11	IRF7	0.587337119731439	7.54426231735694e-14	1.129243	43.59161348838957
AFP	AFP	6.78120692058323e-13	0.6994122557176811	0.89405635048209	0.504768160953272	5.371429692356719e-10	AFP	0.6994122557176811	6.78120692058323e-13	2.028912	40.423523166165275
ISG15	ISG15	5.07136358095455e-10	0.7037271416510029	0.9333373232410529	0.47411696006095394	2.3128491482838202e-07	ISG15	0.7037271416510029	5.07136358095455e-10	0.8364471	30.87690723971521
BNIP3	BNIP3	5.134094219789849e-08	-0.661660072294708	-0.44274862139423293	-0.880571523195183	1.3322089311696099e-05	BNIP3	-0.661660072294708	5.134094219789849e-08	2.710342	-24.21531498691438
