index	primerid	Pr(>Chisq)	coef	ci.hi	ci.lo	fdr	gene	log2fc	pval	mean	score
SEC11C	SEC11C	1.1208496479567498e-70	1.28188036247167	1.41307638450849	1.15068434043484	1.61223013362098e-66	SEC11C	1.28188036247167	1.1208496479567498e-70	4.606566	232.37037387574273
TPH1	TPH1	1.55617249609797e-30	0.83740750149407	0.992816567474225	0.6819984355139139	1.1191992591936599e-26	TPH1	0.83740750149407	1.55617249609797e-30	0.6017779	99.01984085990085
KRT7	KRT7	1.6802480872888498e-29	0.7179902260627021	0.836146705505978	0.599833746619425	8.056229495854269e-26	KRT7	0.7179902260627021	1.6802480872888498e-29	0.6918828	95.58724049023117
PPP1R14B	PPP1R14B	3.58466835733732e-29	0.694522481785813	0.8102119510095601	0.578833012562067	1.2890467412985e-25	PPP1R14B	0.694522481785813	3.58466835733732e-29	2.4322357	94.49407510040938
CYBA	CYBA	2.0829522932476697e-26	0.883319656004744	1.0265669609142198	0.7400723510952709	4.99353096434576e-23	CYBA	0.883319656004744	2.0829522932476697e-26	2.3082263	85.31150066997955
MS4A8	MS4A8	8.9012205368309e-23	0.615437627789885	0.740635974295785	0.49023928128398403	1.2864532370630699e-19	MS4A8	0.615437627789885	8.9012205368309e-23	0.60002047	73.25034301018393
KRT18	KRT18	8.943640413397319e-23	0.652692065932973	0.789100831679593	0.5162833001863529	1.2864532370630699e-19	KRT18	0.652692065932973	8.943640413397319e-23	1.8846667	73.24348399783257
GRP	GRP	4.62118931372599e-22	0.8815472731151551	1.04463846361117	0.71845608261914	5.113168237587279e-19	GRP	0.8815472731151551	4.62118931372599e-22	3.142072	70.87415389471106
NTHL1	NTHL1	2.89208272676778e-21	0.6101881933947341	0.7267643767991129	0.49361200999035404	2.77331452945519e-18	NTHL1	0.6101881933947341	2.89208272676778e-21	1.1800678	68.22838117209156
CALCA	CALCA	1.02694691754295e-18	0.7561924840344201	0.923607676901708	0.588777291167131	8.68917909525752e-16	CALCA	0.7561924840344201	1.02694691754295e-18	0.99460775	59.756344096693
PLPP2	PLPP2	3.24693887005254e-18	0.60634173266237	0.737026569517787	0.4756568958069529	2.45810361614925e-15	PLPP2	0.60634173266237	3.24693887005254e-18	0.96995664	58.09562548463655
S100A6	S100A6	2.61705444687085e-16	0.61583063012516	0.754293912330207	0.4773673479201121	1.56848796515793e-13	S100A6	0.61583063012516	2.61705444687085e-16	2.3852897	51.7629055787513
TFF3	TFF3	1.14007058039844e-10	0.659665962982026	0.8416197446584269	0.47771218130562393	2.02454015166064e-08	TFF3	0.659665962982026	1.14007058039844e-10	2.4542696	33.03015780620397
