index	primerid	Pr(>Chisq)	coef	ci.hi	ci.lo	fdr	gene	log2fc	pval	mean	score
PLCG2	PLCG2	2.43328784521074e-24	2.1409649458261497	2.47446846037585	1.8074614312764499	2.99075409054852e-20	PLCG2	2.1409649458261497	2.43328784521074e-24	1.6674414	78.44336728365627
SMG1	SMG1	3.5631544317034105e-11	1.0687061414394698	1.3320239276488	0.8053883552301371	3.12819508000476e-08	SMG1	1.0687061414394698	3.5631544317034105e-11	1.1930212	34.70805403067304
POGZ	POGZ	1.16247298500753e-10	1.02096736501191	1.27632819867731	0.7656065313465109	8.40467968160441e-08	POGZ	1.02096736501191	1.16247298500753e-10	1.06251	33.00208375940438
DHX36	DHX36	4.1727558358508503e-10	0.9296859339176421	1.1834972509651298	0.6758746168701519	2.5643670989221396e-07	DHX36	0.9296859339176421	4.1727558358508503e-10	1.1499196	31.15828044349226
ANKFY1	ANKFY1	5.65347561778065e-10	0.683635203311003	1.1011287213062	0.26614168531579996	3.30889851514962e-07	ANKFY1	0.683635203311003	5.65347561778065e-10	0.30381507	30.72014287516891
MTRNR2L12	MTRNR2L12	7.1824206135015e-10	1.1309407010755	1.45531112075113	0.806570281399861	3.7244490255645206e-07	MTRNR2L12	1.1309407010755	7.1824206135015e-10	3.8299212	30.37481080697599
FOXJ3	FOXJ3	7.27253898084358e-10	0.9832393146750359	1.2822747099458798	0.684203919404187	3.7244490255645206e-07	FOXJ3	0.9832393146750359	7.27253898084358e-10	0.9380815	30.356821824675027
SON	SON	2.85830131464973e-09	0.928836691305738	1.20792597810516	0.649747404506317	1.21142694684e-06	SON	0.928836691305738	2.85830131464973e-09	2.6023073	28.3821948443974
ARHGEF11	ARHGEF11	5.96425089780319e-09	0.995039897112382	1.2562580356053998	0.7338217586193649	2.15607669955585e-06	ARHGEF11	0.995039897112382	5.96425089780319e-09	0.74304336	27.321011905318148
COG7	COG7	8.24553462489263e-09	0.6953545535444151	0.976504691858913	0.414204415229917	2.89559617355872e-06	COG7	0.6953545535444151	8.24553462489263e-09	0.2886434	26.853739815669066
SUGP2	SUGP2	8.90010653114283e-09	1.04785236770504	1.37434088732069	0.721363848089398	3.03864470484101e-06	SUGP2	1.04785236770504	8.90010653114283e-09	0.7434796	26.743530249251986
TNRC6A	TNRC6A	1.1770226046693998e-08	0.8350692096990969	1.084557766279	0.585580653119196	3.8070486405241e-06	TNRC6A	0.8350692096990969	1.1770226046693998e-08	1.2790179	26.34028273155917
LRPPRC	LRPPRC	1.4536672242471e-08	0.8168332933601781	1.10332283349344	0.53034375322692	4.35781069590758e-06	LRPPRC	0.8168332933601781	1.4536672242471e-08	0.9041523	26.035727716028575
ATAD5	ATAD5	1.70167131514285e-08	0.976631832498633	1.2629753536023702	0.690288311394901	4.86400979870251e-06	ATAD5	0.976631832498633	1.70167131514285e-08	0.7808567	25.808472357684042
NEUROD1	NEUROD1	6.70255138751228e-08	1.0766027484307399	1.43066250682201	0.722542990039476	1.5842511366137198e-05	NEUROD1	1.0766027484307399	6.70255138751228e-08	2.6786356	23.830714383910095
NUP155	NUP155	9.05306791459526e-08	0.826064240500312	1.11997266079186	0.5321558202087661	1.9521273287419396e-05	NUP155	0.826064240500312	9.05306791459526e-08	0.5697556	23.397017981805536
RPRD2	RPRD2	2.1214994684147699e-07	0.7934061365583609	1.04573246645658	0.541079806660139	3.8346102891597e-05	RPRD2	0.7934061365583609	2.1214994684147699e-07	0.65511054	22.16841234707969
CCNL2	CCNL2	2.51949159978938e-07	0.8991323872200799	1.19488313329084	0.6033816411493249	4.42386732185875e-05	CCNL2	0.8991323872200799	2.51949159978938e-07	0.77945274	21.920364017970314
TRIO	TRIO	2.56002145235397e-07	0.8713954674952828	1.14347759513818	0.599313339852384	4.43172164378628e-05	TRIO	0.8713954674952828	2.56002145235397e-07	0.7227586	21.897340764503834
ZNF791	ZNF791	2.71449342270733e-07	0.779673167267251	1.10729658262347	0.452049751911028	4.5703888573281896e-05	ZNF791	0.779673167267251	2.71449342270733e-07	0.7410068	21.812813676030107
TMEM145	TMEM145	3.56926556860843e-07	0.8071620598620541	1.13049688856798	0.48382723115612397	5.77234777681135e-05	TMEM145	0.8071620598620541	3.56926556860843e-07	0.38074347	21.41786941615589
CC2D1A	CC2D1A	3.6570038350655605e-07	0.679123191151273	0.908363099802751	0.449883282499794	5.8374330047780203e-05	CC2D1A	0.679123191151273	3.6570038350655605e-07	0.43476418	21.382834524590727
EP300	EP300	4.03258875392275e-07	0.792224024436484	1.0962492747592099	0.48819877411375895	6.27399346512209e-05	EP300	0.792224024436484	4.03258875392275e-07	0.5632088	21.24179037796388
CD46	CD46	6.51814994295933e-07	0.73674322405055	0.9896308197666172	0.483855628334483	9.315648947548041e-05	CD46	0.73674322405055	6.51814994295933e-07	1.2181333	20.54903412412099
USP34	USP34	7.6131589657851e-07	0.844808155725292	1.15766255465322	0.531953756797364	0.000105138580728612	USP34	0.844808155725292	7.6131589657851e-07	0.72553277	20.325001461649027
GIGYF2	GIGYF2	7.810165058399221e-07	0.6783049316718951	0.978107936791837	0.37850192655195297	0.000105899427240002	GIGYF2	0.6783049316718951	7.810165058399221e-07	0.6738414	20.288143625906034
PABPN1	PABPN1	9.17745274411286e-07	0.759752426609601	1.03953511672053	0.47996973649867697	0.00012025680578738999	PABPN1	0.759752426609601	9.17745274411286e-07	1.5400851	20.055402883490316
RIF1	RIF1	9.19708709137957e-07	0.918247388033672	1.23507173002334	0.601423046044004	0.00012025680578738999	RIF1	0.918247388033672	9.19708709137957e-07	1.1626209	20.05231966219959
ASH1L	ASH1L	1.12391234843047e-06	0.9695785633785029	1.2956196600486398	0.643537466708362	0.00013953542095513998	ASH1L	0.9695785633785029	1.12391234843047e-06	1.0815687	19.763039042142132
GAPVD1	GAPVD1	1.35651414086383e-06	0.6455861298309721	0.9562134626869591	0.334958796974985	0.000163459953974091	GAPVD1	0.6455861298309721	1.35651414086383e-06	0.30309385	19.49166448237687
THOC2	THOC2	1.43052537552461e-06	0.7105037777833101	0.9578673331167521	0.46314022244986797	0.000165873465948802	THOC2	0.7105037777833101	1.43052537552461e-06	1.2825502	19.4150234800386
