logFC	AveExpr	t	P.Value	adj.P.Val
HSPA12B	-7.17968153551608	2.22155651009911	-19.1831167345724	3.45020874601528e-31	6.22935189093059e-27
FXYD1	-38.8722961897745	5.23359593325568	-16.5680293535055	3.30633984309519e-27	2.98479829335418e-23
ZCCHC24	-12.7486873187584	3.78446112469136	-15.9947957361276	2.75955761278348e-26	1.66079375662686e-22
LRRN4CL	-2.00061119064327	0.549724614814815	-14.7969104623185	2.66030187896104e-24	1.20079376061604e-20
LIMS2	-15.524210218318	5.89092085806176	-13.5190563938965	4.25456305027135e-22	1.53632271745299e-18
SPRY1	-53.833803685771	18.6356328739436	-11.8482888547016	4.3807269518659e-19	1.31823375193231e-15
LTBP4	-68.5081950581063	31.8512731592988	-11.6041532896621	1.23969617474214e-18	3.19753063356704e-15
SEMA3G	-5.95656333946469	1.66874044395062	-11.04606824152	1.36764086143501e-17	3.08659446915113e-14
PRG4	-2.70644599257253	0.65402219859874	-10.9758471074616	1.85391381756017e-17	3.71915710844988e-14
CFI	-39.421757937183	10.7939661793271	-10.7716021193627	4.50264752137784e-17	8.1295300998477e-14
FBLN1	-174.908289867578	72.3341273511469	-10.6443896880343	7.83965844011296e-17	1.28677302851127e-13
ABCA8	-35.9235118457601	4.23576081148682	-10.2303156266487	4.80972406525456e-16	7.23663066651426e-13
CPED1	-5.70413005986498	2.37496871781788	-10.2107085713628	5.24280819931718e-16	7.28145400297474e-13
LAMB2	-62.5281218898928	37.2236186243783	-10.1574577137935	6.62700100347766e-16	8.54646450841351e-13
F10	-2.69031527681796	1.02120602884948	-9.94521743516809	1.68925232518333e-15	2.03329671541234e-12
HMCN1	-10.3102486893528	3.7101825193369	-9.83303239088825	2.77328033745245e-15	3.129473530794e-12
MOXD1	-110.957894977888	19.4860526433072	-9.65052154334285	6.22190351526917e-15	6.60802752754029e-12
UNC5C	-2.44216696535179	0.578340426655696	-9.49798711253758	1.2240040553513e-14	1.22774406774265e-11
NR2F2	-30.9336427597924	17.4819324399962	-9.47659534285333	1.34595924936694e-14	1.27901548670106e-11
WTIP	-4.48389926161343	2.44216305802469	-9.34621874962288	2.40222769879035e-14	2.07388221469524e-11
OAF	-14.922938430383	6.33142200782691	-9.34529078191262	2.41215876536139e-14	2.07388221469524e-11
VIM	-584.238629690576	285.387301048505	-9.16762597227651	5.31722373404904e-14	4.36374884173888e-11
SEMA3C	-23.5257967989609	6.34838634217284	-9.05871351870665	8.63639812536514e-14	6.74025786501951e-11
