logFC	AveExpr	t	P.Value	adj.P.Val
HSPA12B	-7.30375585887735	2.22155651009911	-14.2141015838535	2.62409411188619e-23	4.73780191901052e-19
FXYD1	-37.9728659695264	5.23359593325568	-11.7886266875536	5.64541309437411e-19	5.09639667094623e-15
NEUROD1	198.752271932389	34.4720312679012	11.6404433492038	1.06166633241854e-18	6.38946187727228e-15
LRRN4CL	-2.05893056608187	0.549724614814815	-11.0919839289352	1.12122226016226e-17	5.06091697680742e-14
LIMS2	-16.039320985776	5.89092085806176	-10.1737724996997	6.1678414599101e-16	2.22720755117354e-12
ZCCHC24	-10.7221102099865	3.78446112469136	-9.79834381033582	3.23318955092788e-15	9.72920622366716e-12
EDA	5.53368504904468	1.48816795209955	9.74569593306884	4.08154812153064e-15	1.05274787620337e-11
NHLH1	76.4305292129105	11.3133384679012	9.46296567692973	1.42994093607437e-14	3.22719795010285e-11
NHLH2	35.07106062942	5.73884998859394	8.70425548938363	4.19394901493786e-13	8.41352771830035e-10
CFI	-43.5030357072296	10.7939661793271	-8.65810918879117	5.15249087058088e-13	9.30282226683378e-10
SEMA3G	-6.35624994063428	1.66874044395062	-8.58562869364356	7.11920399977001e-13	1.1685202565077e-09
SPRY1	-51.4271427633121	18.6356328739436	-8.24426876900376	3.26255791925537e-12	4.82770900903064e-09
F10	-3.05655357371698	1.02120602884948	-8.23004662769849	3.47605744211567e-12	4.82770900903064e-09
HPCA	24.965048189947	7.05813086865895	8.03138579366161	8.42127624328456e-12	1.08604387551788e-08
WTIP	-5.23712036882591	2.44216305802469	-7.9511844626354	1.20326224195274e-11	1.44832665189712e-08
NR2F2	-35.2724641486352	17.4819324399962	-7.87075238906174	1.72057292183834e-11	1.94155900648695e-08
CHRNB4	11.1099571342454	2.95303578938505	7.79019555996303	2.46090406248174e-11	2.61362487341811e-08
ABCA8	-36.6289135880704	4.23576081148682	-7.59789806713681	5.77389086170972e-11	5.79153330600939e-08
PRG4	-2.551143469761	0.65402219859874	-7.53585867145854	7.59870618185858e-11	7.22077053228719e-08
ST7	38.59842135173	26.9852229387433	7.44918388113512	1.11472559037129e-10	1.00631852670768e-07
SLC17A6	32.4846083439406	6.33789103567901	7.43394442176305	1.19235025939154e-10	1.02513733015782e-07
SSTR2	34.0697403650022	7.42572269135802	7.36857214565474	1.59119102715717e-10	1.27280207417134e-07
GLCE	47.6188039794647	18.9337136259259	7.36188059342331	1.63885740357198e-10	1.27280207417134e-07
CPED1	-5.64075019256258	2.37496871781788	-7.35465841910508	1.69189973858279e-10	1.27280207417134e-07
ADGRA2	-13.7581900907782	5.74896930987654	-7.28570815455177	2.29266966689321e-10	1.62971059984392e-07
YAP1	-19.0955806300596	7.63096694923659	-7.28040357244781	2.34685547471293e-10	1.62971059984392e-07
TNFRSF10B	-20.2572857165491	8.56859621629959	-7.20572420367552	3.25975218416897e-10	2.17144733952902e-07
CNTN2	13.3662023506514	3.19376652403173	7.19832515822497	3.36751733629536e-10	2.17144733952902e-07
NGB	33.0961443368196	9.70133646790124	7.18932408113976	3.50340422399815e-10	2.18117114704437e-07
NFIA	15.0842581810338	7.07212758215765	7.17739911310659	3.69186663963009e-10	2.22188840595071e-07
FNDC5	111.952795082927	24.5539414772995	7.16944879535162	3.82308225945463e-10	2.22663710304688e-07
KIAA1614	11.4194638172785	4.30081085530864	7.13914055921097	4.36726583617968e-10	2.464093271007e-07
FAM212B	16.8029696407861	9.17869410340224	7.02142789828293	7.31593891664344e-10	4.00270536787871e-07
TBX2	-20.6661317317404	7.71487119645549	-6.93482075284189	1.06826354474774e-09	5.67279361777073e-07
ZDHHC22	25.0575257468916	7.34102993246914	6.75914817451851	2.29554988852774e-09	1.18417580678196e-06
EYA2	118.060009002349	59.4899448593575	6.73491946854599	2.55012319554379e-09	1.27895761932064e-06
CDC42EP2	11.1768890482629	4.98331355062831	6.68474966067983	3.16971933787171e-09	1.54673736879118e-06
DACH1	31.2127635839235	10.5202729227251	6.67740089909834	3.27222769052782e-09	1.55473870927578e-06
SGCD	7.72275276066909	2.39451821496355	6.55513733537602	5.54993584015725e-09	2.56933568189844e-06
