logFC	AveExpr	t	P.Value	adj.P.Val
HSPA12B	-6.95317272280328	2.22155651009911	-14.866840178942	2.02731055108038e-24	3.66030919997562e-20
ZCCHC24	-13.6802115946019	3.78446112469136	-13.7349698292869	1.77907126704831e-22	1.36453758065686e-18
FXYD1	-40.0929326313123	5.23359593325568	-13.6747737823062	2.26730143559712e-22	1.36453758065686e-18
LRRN4CL	-2.27774945497076	0.549724614814815	-13.481430270885	4.9556439474062e-22	2.23685378676047e-18
IMP4	122.175934815131	56.9804046673305	11.4832360269606	2.08005551347593e-18	7.51108045916158e-15
POU2F3	96.3435375929003	17.2632636797872	11.0695604001469	1.23542715026768e-17	3.71760619968048e-14
LIMS2	-15.518132277715	5.89092085806176	-10.8142892243552	3.73930794144719e-17	9.64474355468987e-14
BARX2	20.0479865826811	5.14468349135802	10.4342392055786	1.96521682674738e-16	4.4352487258655e-13
PVT1	65.9872925038908	19.9918193651004	9.70673135544145	4.85021077759612e-15	9.73006173216643e-12
ASCL2	37.5437887159694	10.0139224851852	9.61230067524022	7.37072909265893e-15	1.33078513767957e-11
LTBP4	-69.3398597024712	31.8512731592988	-9.39886813303672	1.90100220073288e-14	3.12023588493019e-11
PRG4	-2.84933625067939	0.65402219859874	-9.24706804305242	3.73363345451989e-14	5.61756266844639e-11
SEMA3G	-6.20972958815564	1.66874044395062	-9.21523283186028	4.30185057580612e-14	5.97460862662919e-11
CPED1	-6.3773535890057	2.37496871781788	-9.13542223060651	6.13698939117609e-14	7.91452453269173e-11
SPRY1	-50.8382273501148	18.6356328739436	-8.95390809387659	1.37770862332819e-13	1.65830194627936e-10
F10	-2.99492665162955	1.02120602884948	-8.85969888615272	2.09679367721232e-13	2.36610061512927e-10
CPSF4L	1.49735130716749	0.463243083950617	8.82195870914112	2.4810827234332e-13	2.63505579832861e-10
CFI	-40.0647830536911	10.7939661793271	-8.76049765922557	3.26346859895267e-13	3.27344030856058e-10
HMCN1	-11.2768667573002	3.7101825193369	-8.60653708086275	6.48523879818801e-13	6.16268350006761e-10
MOCOS	11.8958524529405	3.5232045254321	8.56916868412434	7.66159302820118e-13	6.91650310620862e-10
ABLIM3	-12.5756544094817	3.8207811693137	-8.47351547646166	1.17386751916832e-12	9.80952844798927e-10
ABCA8	-37.1641197418026	4.23576081148682	-8.46946082467353	1.19529009058856e-12	9.80952844798927e-10
FOXI1	61.5014197178001	11.3052090078642	8.42800333624478	1.43805987178989e-12	1.12887699935506e-09
TBX2	-22.5390467699904	7.71487119645549	-8.30948444712108	2.43950899557292e-12	1.83522228812787e-09
GALNT14	20.9160871423535	7.14809259011783	8.28581511178487	2.71100111114309e-12	1.89424619714256e-09
COLCA2	110.336007862089	28.2659208706	8.28442951275991	2.72779845614548e-12	1.89424619714256e-09
LINC00639	1.69521394035754	0.448720740899668	8.22875160611903	3.49617789926636e-12	2.33790711004645e-09
WTIP	-4.89169214888289	2.44216305802469	-8.15944986948018	4.76107647930941e-12	3.07004413692612e-09
VIM	-625.193176954913	285.387301048505	-7.85059391409559	1.88182269413863e-11	1.17159685319562e-08
FBLN1	-160.090206568357	72.3341273511469	-7.7964482991322	2.39351485801662e-11	1.440497025383e-08
MOXD1	-111.542791009345	19.4860526433072	-7.76346767429821	2.7709573454027e-11	1.61385918939502e-08
PTPN18	114.51338525903	59.5766830817407	7.64685361773178	4.64805479164193e-11	2.55749848307191e-08
EFNA4	20.0006731031489	7.7789784308642	7.64557526302368	4.67446413411093e-11	2.55749848307191e-08
SYDE1	-5.74995229977384	2.57465946644189	-7.58724469052643	6.05282325941193e-11	3.21422717496125e-08
VSNL1	29.3197035429309	6.288126292	7.55828034140587	6.88093406662823e-11	3.54957898779922e-08
PPM1F	-11.4601890179222	7.53568401320763	-7.32982727543308	1.88764964239957e-10	9.46708730375676e-08
PLEKHG7	3.20564082810054	0.727275762911663	7.3236095920618	1.94009640603986e-10	9.46714611109451e-08
DUSP6	-77.4606479851582	26.7318693911395	-7.26118899736964	2.5540186085713e-10	1.21349489415144e-07
CTDSPL	-14.9034084316764	10.6841443283951	-7.2548769415852	2.62596666058591e-10	1.21568789889432e-07
ATP1A2	-5.37234688774789	1.03647946308664	-7.24155377494045	2.78451951343983e-10	1.2568624953789e-07
FAM212A	-4.83478088064177	2.08726164197531	-7.2231837917241	3.01886510541568e-10	1.32940510922634e-07
UNC5C	-2.30899224180413	0.578340426655696	-7.1862176004235	3.55155692711513e-10	1.52674667426342e-07
DYRK4	56.2986381751656	36.371600573685	7.15061072384665	4.15280580936247e-10	1.7436955555358e-07
EDNRB	-35.4174283168435	6.42980765148123	-7.13088759849447	4.52835281605524e-10	1.85816841122448e-07
HSPB2	-3.19650155835957	1.13375148271605	-7.12279801725593	4.69198281908427e-10	1.88252777330148e-07
MXRA8	-49.9313554536788	25.3044296076696	-7.06150497078351	6.13847896398999e-10	2.40935299336607e-07
ADARB1	-24.6421228409149	9.31036600147695	-7.0448733239674	6.60232184760355e-10	2.53627491401026e-07
LAMB2	-54.1094303564592	37.2236186243783	-7.03403081986867	6.9233038681352e-10	2.57715702392216e-07
MEF2C	-22.1986667833091	9.53159202599652	-7.03170270551714	6.99422288408673e-10	2.57715702392216e-07
LINC00675	14.9705073092518	2.54398193333333	7.00058380751845	8.01446549655624e-10	2.84562408337599e-07
PRKG1	-5.13770214632481	1.8781716278023	-6.999912231681	8.03804088907091e-10	2.84562408337599e-07
SEMA3C	-22.6796315412695	6.34838634217284	-6.98843362580169	8.45181611480412e-10	2.93456807601516e-07
LINC01503	43.382176994167	9.90406242345679	6.97918989709191	8.80036092711459e-10	2.99793427432177e-07
PRICKLE2	-7.37902155124287	2.48356062192109	-6.94171335297929	1.03659365016014e-09	3.46587006548914e-07
PHLDB2	-28.5969008455834	10.3732530604405	-6.92019495958237	1.13868487180041e-09	3.73799188370116e-07
RUNX2	8.48799705331308	3.74597749472899	6.87588788267575	1.3814067378727e-09	4.45380333076635e-07
FAM124A	5.09903331842105	2.20303020864198	6.84518340190151	1.57910589213687e-09	4.91329699054773e-07
ANGPT1	-5.9758069161702	2.24237310214921	-6.84341633461545	1.59130238781724e-09	4.91329699054773e-07
MARVELD1	-15.5611635563053	10.9783599061728	-6.84136709019101	1.60556368010145e-09	4.91329699054773e-07
EXOC3L2	-3.11547087389599	1.57981931886962	-6.80417229132388	1.88762091072582e-09	5.68016592385911e-07
MYB	121.518460457561	31.5197912290777	6.77619809182359	2.1316880474634e-09	6.22436826512958e-07
ZEB2	-37.3444113571185	15.4872532952602	-6.77558024165817	2.13741806944355e-09	6.22436826512958e-07
AZGP1	442.268629237375	94.6003252445795	6.73034339594647	2.60125893570602e-09	7.45487779113844e-07
SCARF2	-9.53680731076857	4.08613492985788	-6.69692614330354	3.0068356441982e-09	8.48256524312475e-07
ACADSB	32.2572366530175	11.7430440012745	6.65772761479115	3.56312291861205e-09	9.89725912239084e-07
RBMS3	-9.77806629305685	3.7097834276807	-6.64236720304462	3.8079555165329e-09	1.03673933298025e-06
LRMP	110.428999959484	24.2624548351594	6.63999541413083	3.8472187931142e-09	1.03673933298025e-06
DLC1	-11.5467476462463	5.75368788969767	-6.6339106076157	3.94979438714006e-09	1.04872849499726e-06
YAP1	-15.8183144007275	7.63096694923659	-6.62590609777425	4.08887305615809e-09	1.06992178302803e-06
PROS1	-22.175028652924	8.95995612716049	-6.60416310373199	4.49165218287759e-09	1.15852543088364e-06
PTPN21	-6.29755664735521	3.55129907770259	-6.57819489542096	5.02452820316406e-09	1.27771629166376e-06
TNS2	-37.8368972746769	19.6775962190033	-6.54950388283801	5.68637093070352e-09	1.41255858656439e-06
GYPE	-0.924359895910248	0.34498621374658	-6.54849072229381	5.71125875487126e-09	1.41255858656439e-06
PCDHGC3	-35.5317620802219	22.158682262963	-6.51212483489935	6.67976064071835e-09	1.62977132929959e-06
