logFC	AveExpr	t	P.Value	adj.P.Val
HSPA12B	21.4366101171967	2.22155651009911	24.2845770949781	5.19283726849068e-38	9.37566768825992e-34
FXYD1	116.938094790613	5.23359593325568	21.1323172012774	6.21579251118784e-34	5.61130668947482e-30
LRRN4CL	6.33729121169591	0.549724614814815	19.8734132495613	3.50844033573569e-32	2.11149634205693e-28
ZCCHC24	37.1510091233468	3.78446112469136	19.7626095598254	5.04536194970122e-32	2.27735025004639e-28
LIMS2	47.0816634818091	5.89092085806176	17.3839758702307	1.73157337705146e-28	6.25271146453284e-25
SPRY1	156.099173799198	18.6356328739436	14.5667148387851	6.53601641916326e-24	1.70557662572087e-20
SEMA3G	18.5225428682546	1.66874044395062	14.5637432251288	6.61259284411304e-24	1.70557662572087e-20
CFI	122.989576698104	10.7939661793271	14.2486287149006	2.28858418893064e-23	5.16504844139284e-20
PRG4	8.10692571301292	0.65402219859874	13.9397608793227	7.82308714688124e-23	1.5693982048549e-19
F10	8.7417955021645	1.02120602884948	13.7016287078494	2.03470269353837e-22	3.67365571318354e-19
CPED1	17.7222338414333	2.37496871781788	13.4507150176761	5.61350787698024e-22	9.2138077017162e-19
ABCA8	109.716545175633	4.23576081148682	13.2477711530096	1.28287610857588e-21	1.93019401169479e-18
WTIP	14.6127117793222	2.44216305802469	12.9143145447856	5.04340206708122e-21	7.00450956316549e-18
LTBP4	175.485274502236	31.8512731592988	12.6029454915008	1.83282295305941e-20	2.36368702982055e-17
NR2F2	91.3853368439574	17.4819324399962	11.8702054161078	3.99139980935476e-19	4.80431490386001e-16
VIM	1777.29740129311	285.387301048505	11.8246193778442	4.84423679684413e-19	5.4664184604388e-16
TBX2	60.4464253807789	7.71487119645549	11.807227692323	5.21598498137165e-19	5.53968287286266e-16
YAP1	51.3941758710274	7.63096694923659	11.4061153840594	2.89577571462295e-18	2.90462391819541e-15
UNC5C	6.89796135246685	0.578340426655696	11.3746338972368	3.31509207000045e-18	3.15020985915042e-15
HMCN1	27.8590791862895	3.7101825193369	11.2653719041122	5.30472282012465e-18	4.78883852586753e-15
LAMB2	160.919982823028	37.2236186243783	11.0835800741773	1.16272499908461e-17	9.9966665992727e-15
ADGRA2	35.7907290647773	5.74896930987654	11.0327119281495	1.44905886171581e-17	1.16027571636405e-14
ANGPT1	18.1755236883625	2.24237310214921	11.0281361504941	1.47805823740643e-17	1.16027571636405e-14
OAF	41.3914575501087	6.33142200782691	10.9903023117073	1.74131231556226e-17	1.30997474406153e-14
DLC1	35.7259506923427	5.75368788969767	10.8750813873216	2.87089166747062e-17	2.07335796224728e-14
SYDE1	15.5154021362256	2.57465946644189	10.8473003511499	3.23928559870951e-17	2.24943467248847e-14
EDNRB	100.640861867772	6.42980765148123	10.7359305967963	5.25942385840788e-17	3.51699621346497e-14
SEMA3C	65.3960062301151	6.34838634217284	10.6766217608238	6.81116502188095e-17	4.39198515964502e-14
GYPE	2.83110207332052	0.34498621374658	10.6266023640593	8.4726258059476e-17	5.27493996297876e-14
GNG7	12.5007539409357	1.14112005679012	10.6097853896491	9.11821478425733e-17	5.48764559765887e-14
SCARF2	28.420232407272	4.08613492985788	10.5739902890813	1.06616757919386e-16	6.2095663362404e-14
MOXD1	284.700951267578	19.4860526433072	10.498855074828	1.48091360441891e-16	8.35559222743229e-14
AHR	59.4740784181024	10.2740310671336	10.37982025681	2.49464555047271e-16	1.32786382616694e-13
MXRA8	138.517484792475	25.3044296076696	10.3792815089217	2.50054666794107e-16	1.32786382616694e-13
TNFRSF10B	49.9565621406618	8.56859621629959	10.3440400742461	2.91862040335545e-16	1.5055911823595e-13
ZEB2	106.19527548555	15.4872532952602	10.208568592912	5.29238496882407e-16	2.65427807255885e-13
MMP2	421.105648552301	55.8668953694647	10.1310008281244	7.44566117550476e-16	3.53844440669996e-13
MEF2C	60.3639745458884	9.53159202599652	10.1309510423126	7.44729368344495e-16	3.53844440669996e-13
ATP1A2	14.1673852866111	1.03647946308664	10.1180354959007	7.88317008575152e-16	3.64950348457035e-13
ABLIM3	28.119544236867	3.8207811693137	10.0387604495823	1.11796860959053e-15	5.04623081153925e-13
MARVELD1	43.0019018180537	10.9783599061728	10.0167600566129	1.23188209754388e-15	5.42478811491581e-13
DKK2	11.8730934581983	0.893020574195555	9.99828689666662	1.33648188075877e-15	5.74528103740467e-13
CDC42EP5	40.4166811176038	6.05622769506173	9.98117039498949	1.44133896832729e-15	6.05194769143007e-13
PRICKLE2	19.9792468867058	2.48356062192109	9.95831344087414	1.5943476614397e-15	6.41427996682292e-13
RFTN2	25.9267305122158	1.96917090432192	9.95769805005133	1.59868512050419e-15	6.41427996682292e-13
ITM2A	160.405647985027	16.7940576590243	9.95041379981406	1.65093502118218e-15	6.47991995814004e-13
DUSP6	198.219415657677	26.7318693911395	9.84490630859107	2.63142301749287e-15	1.0108583527837e-12
PRICKLE1	16.864614593365	2.51952910383341	9.82016825108495	2.93563819413988e-15	1.10422807489991e-12
GAS7	142.803379779368	6.75774470503399	9.80129202704897	3.19129116803115e-15	1.1758931028327e-12
ADAMTS1	176.613059314964	10.0133771688086	9.78339561593071	3.45426831247149e-15	1.24733628763345e-12
FBLN1	376.805234929079	72.3341273511469	9.72271928047598	4.51865048849012e-15	1.59969087391547e-12
PTGIS	21.6919705843755	2.82554248765432	9.67786684659519	5.51181606810752e-15	1.91376613672464e-12
PRKG1	13.3291676931531	1.8781716278023	9.62200291922758	7.06037192614934e-15	2.40518896465333e-12
ITGA8	15.6340631547458	1.65922762716049	9.61001094795669	7.44594624928498e-15	2.48956591723778e-12
RASL12	20.1937966529479	3.42479504615086	9.58096016889657	8.46981970523401e-15	2.78041081414546e-12
EXOC3L2	8.26279491475559	1.57981931886962	9.56130915383028	9.24131356088506e-15	2.97949850610321e-12
PDE7B	33.7451792024288	1.75254055156259	9.54358986874274	9.99720013782809e-15	3.16665699102607e-12
ITGB5	346.396043931163	28.9256533948233	9.52327462788795	1.09404004931319e-14	3.39377339301332e-12
HSPB6	52.935882294197	4.32192545555556	9.52021167291528	1.10901484457372e-14	3.39377339301332e-12
PCDH7	49.6425424333813	2.64086563802469	9.50642224247636	1.17901708659339e-14	3.54785891640729e-12
HSPB2	8.02587833907632	1.13375148271605	9.4756074665925	1.35187648042632e-14	3.99101018904942e-12
ADAMTS9	31.8336987711866	3.45486924717609	9.47252737377517	1.37049366779875e-14	3.99101018904942e-12
ADARB1	62.4211273775192	9.31036600147695	9.4550854678179	1.48087182667551e-14	4.24399060803592e-12
BAAT	3.22299412557776	0.377002642200412	9.42757699485331	1.67334270508149e-14	4.72065664691348e-12
HOXA2	12.9844410895262	1.15323108518519	9.41599129914097	1.7617299167567e-14	4.88614187803887e-12
SPRY2	140.10891041558	11.0557869740741	9.41289576998617	1.78612774273368e-14	4.88614187803887e-12
STARD13	47.863928704929	4.05402906931308	9.38048897921519	2.06279165952382e-14	5.55876170338844e-12
HOXA3	31.3605938381643	3.76113352642196	9.27687673065688	3.26992536326734e-14	8.68213271085174e-12
CSGALNACT1	24.9744041287066	4.6229964062032	9.26152053005276	3.50111313935514e-14	9.16124604797928e-12
ALDH1A3	116.886131834122	7.2877713031502	9.24996296749754	3.68585097558061e-14	9.39999313197076e-12
PPM1F	27.2941054231035	7.53568401320763	9.24931574872923	3.69648026790321e-14	9.39999313197076e-12
SLC5A4	8.63649292477133	0.396096708641975	9.20130803352859	4.57688922380684e-14	1.14771854077545e-11
LRRC4B	17.8443637528267	1.27956775033223	9.1940462490232	4.72724026735125e-14	1.16918250721955e-11
EPHA3	42.4971920324831	2.92656399419753	9.18861417324068	4.8429337731683e-14	1.18161039560208e-11
FAM212A	11.5914450680762	2.08726164197531	9.17546814109302	5.13479394751921e-14	1.23611606296612e-11
GYPC	72.7114989391975	13.7832430766039	9.12907138039662	6.31301995890173e-14	1.49975757049961e-11
TNS2	99.1738630423671	19.6775962190033	9.0955486057472	7.32949850488853e-14	1.71862461695795e-11
A2M	1110.45364769003	126.389508133086	9.07791735562207	7.9283072045963e-14	1.83519982793572e-11
ITGA4	114.346238607505	9.28637344320988	9.00402712910491	1.10192330409654e-13	2.51838294372949e-11
AXL	24.6193754687419	5.04427242271605	8.95725478938148	1.35731020393176e-13	3.0632794664985e-11
LGI4	281.953857106329	7.98020122443391	8.88717456184621	1.85504063332046e-13	4.13490847340752e-11
PCDH18	27.3843046741713	4.82223127542584	8.88038089673825	1.91208769586264e-13	4.17754805743102e-11
LINC00839	17.3437689650304	1.39752781416557	8.87940261380977	1.92044579765591e-13	4.17754805743102e-11
DHH	2.23458331959814	0.213724879012346	8.87381665479268	1.96887552260995e-13	4.23191042389555e-11
SCRG1	55.1863755104738	1.72019497839506	8.84754069096616	2.21360263217799e-13	4.70195241458514e-11
PROS1	55.8840410137427	8.95995612716049	8.81820486726364	2.52296470052319e-13	5.29675903115654e-11
ATP1B2	12.1898983271855	1.23069652592593	8.78890875951276	2.87508305838566e-13	5.96662351944289e-11
PDE4A	8.01129753677148	1.80609928211111	8.75837589337987	3.29449757875112e-13	6.75933565731267e-11
APLNR	27.4496229178221	3.11378238167284	8.75336623551742	3.36893568731305e-13	6.83439706004911e-11
WWTR1	138.686773424502	15.1479403787259	8.73573123828529	3.64461643836057e-13	7.31150553273335e-11
ADAMTS5	30.2822168054431	1.47274273703704	8.71640649331347	3.97269494114015e-13	7.88208869915224e-11
ITGB3	132.265033840242	4.84410065442319	8.68601210740808	4.54949784794378e-13	8.92838952658967e-11
SLC26A4	19.127097357037	0.987395322592593	8.67694510424258	4.73726818439878e-13	9.15630897454401e-11
AQP7	34.3075573416367	1.44601093830953	8.675539556407	4.76706199727022e-13	9.15630897454401e-11
LINC00920	9.15282037013045	0.814010044444444	8.64538084105639	5.453497656458e-13	1.03645158091947e-10
CDH19	240.786382636176	6.24784483183951	8.63740358310488	5.65104965702411e-13	1.06280939122469e-10
PLAT	71.9091078218836	10.9613799145583	8.62876069789373	5.87317150209042e-13	1.09319702546642e-10
COL20A1	654.674370320765	16.3725183630741	8.61371624560555	6.28084269114659e-13	1.15714913049645e-10
COL24A1	3.53934712649138	0.441767001864198	8.61056095844812	6.36987030818939e-13	1.15841080498123e-10
TANC1	50.7649233674689	8.53441478641975	8.60877382878915	6.42085351364424e-13	1.15841080498123e-10
SOX10	219.876655783586	5.56511459034511	8.6063547633407	6.49051521975985e-13	1.15841080498123e-10
VCAN	748.96506209326	49.6999240018282	8.60450366171234	6.54433132695017e-13	1.15841080498123e-10
PODN	56.9262125743942	6.95107187657129	8.59735073914662	6.75651140606408e-13	1.18435741200473e-10
HMGA2	302.428194380553	7.96727072737479	8.5932979158148	6.87977099657207e-13	1.19279943468739e-10
SPRY4	356.954334701619	15.8278442728395	8.59144725817364	6.93680092174888e-13	1.19279943468739e-10
MMP17	105.191626443957	4.76261356692954	8.58527847655467	7.13033455197281e-13	1.21451122958367e-10
MAP3K1	63.2241812181736	8.72475595061728	8.57692759400152	7.40095759121824e-13	1.24882513373313e-10
RARG	28.1819001696067	5.49462356269593	8.56370650675463	7.85056315539035e-13	1.31242516454234e-10
IL1RAP	76.6490119330353	5.84065733662608	8.55875575384151	8.02586324205979e-13	1.32942165904027e-10
S100B	139.652614770355	7.32899649753086	8.55381203303839	8.20481992206908e-13	1.34670930629961e-10
LINC00632	10.4788111298021	0.488449069135802	8.5318314684681	9.05004818765265e-13	1.47205963989251e-10
SPRY4-IT1	56.6455225305143	1.91014327901235	8.52761111272125	9.22203348051542e-13	1.48664120080987e-10
RUBCNL	29.405948748931	2.53532052613427	8.52553298334147	9.30791695335192e-13	1.48720743887406e-10
NDST3	52.7081844481781	1.71403994160494	8.50593960106631	1.01580161148471e-12	1.60879807854004e-10
LATS2	9.69840267270955	2.1993233	8.47994515284811	1.14068073956336e-12	1.79086876111448e-10
GCSAM	22.0914437322685	2.20844377238191	8.47020614710554	1.19132310537443e-12	1.85425333340822e-10
PPFIBP1	121.703000218026	15.4764389163457	8.46631015668179	1.21220596403363e-12	1.87063065646386e-10
ADRB1	4.30250057136152	0.619803739382716	8.45672330752184	1.26516366666343e-12	1.93580762725493e-10
EDN3	235.260363675401	7.0265209152809	8.44754002850493	1.31805934169227e-12	1.99979507682806e-10
GSTM5	8.60211096600839	0.905513668395062	8.39674208824557	1.65320083953906e-12	2.47859539478282e-10
RNF175	40.1573830455206	2.02446127775344	8.3956743896351	1.66109134737591e-12	2.47859539478282e-10
HAS2	25.8108056208277	2.04533809012346	8.39257518690697	1.68420891171107e-12	2.49249113942159e-10
INSC	14.5497449029996	0.858265672298281	8.35399442754774	2.00038503055448e-12	2.93633753875294e-10
PHLDB2	65.0909212554532	10.3732530604405	8.34561909907894	2.07650291218132e-12	3.02348871608337e-10
IL13RA2	9.23481656668016	0.713244190493827	8.34217429789738	2.10864428122919e-12	3.04572579980744e-10
ABCB4	8.50629881364052	0.668905833701345	8.3381164247321	2.14714413904645e-12	3.07672122464157e-10
PLEKHA4	52.3757917403688	8.28802677607481	8.33410530816905	2.18589062394843e-12	3.10757915081803e-10
TTYH1	103.246875046015	4.34209482574948	8.32552062293201	2.27118054295466e-12	3.2036066174255e-10
LBH	139.031287573384	38.2529923962971	8.31821958490781	2.34632869668401e-12	3.28395074563022e-10
LPAR4	20.7809265866817	1.02192350012346	8.3119867585303	2.41244452119916e-12	3.35051429463468e-10
SOX8	7.54349319435448	0.35709179691358	8.30237239696483	2.51809924208858e-12	3.459729897119e-10
AJ239322.1	5.28823518584495	0.228889156790123	8.30136743248815	2.52940651575579e-12	3.459729897119e-10
SPTBN1	156.372344536265	49.8891061201235	8.26133151716398	3.02363039358365e-12	4.10463509444758e-10
LMOD1	30.405809424631	3.117437945958	8.24693863672327	3.22396382041768e-12	4.34393035654038e-10
LAMA4	93.72407761615	17.3704437778002	8.24397689882554	3.26680491473522e-12	4.36904909152181e-10
ARAP3	35.3321672295203	5.42095925506531	8.23713279973014	3.36799176771812e-12	4.47125671809932e-10
BIRC7	24.306635855847	1.5913615937184	8.23162894583548	3.45163025635425e-12	4.54884556777197e-10
MYH11	122.648668397717	12.4899975208363	8.22432262302923	3.56587336766118e-12	4.66535098935671e-10
MSRB3	28.721227404304	5.05825186799674	8.22003427003616	3.63467792337857e-12	4.72115898608634e-10
