Gene	pval_A	pval_N	freq_A	freq_N
ACKR2_CCL14	1	1	0	0
ACKR2_CCL2	1	1	0	0
ACKR2_CCL28	1	1	0	0
ACKR2_CCL4	1	1	0	0
ACKR2_CCL5	1	1	0	0
ACKR3_CXCL12	1	0.315789473684211	0	0.166666666666667
ACVR_1A2A receptor_BMP5	1	1	0	0
ACVR_1A2A receptor_BMP6	1	0.315789473684211	0	0.166666666666667
ACVR_1A2A receptor_BMP7	1	0.0877192982456141	0	0.333333333333333
ACVR_1A2A receptor_INHBA	1	0.0877192982456141	0	0.333333333333333
ACVR_1A2A receptor_INHBB	0.743144626271561	0.652145068553737	0.307692307692308	0.333333333333333
ACVR_1A2B receptor_BMP5	0.456140350877193	1	0.153846153846154	0
ACVR_1A2B receptor_BMP6	1	0.315789473684211	0	0.166666666666667
ACVR_1A2B receptor_BMP7	0.996130030959752	0.0709494324045408	0.0769230769230769	0.5
ACVR_1A2B receptor_INHBA	1	0.0877192982456141	0	0.333333333333333
ACVR_1A2B receptor_INHBB	0.743144626271561	0.652145068553737	0.307692307692308	0.333333333333333
ACVR_1B2A receptor_BMP3	1	1	0	0
ACVR_1B2A receptor_GDF11	0.95046439628483	0.258513931888545	0.384615384615385	0.666666666666667
ACVR_1B2A receptor_INHBA	1	0.0877192982456141	0	0.333333333333333
ACVR_1B2A receptor_INHBB	0.493808049535604	0.846749226006192	0.461538461538462	0.333333333333333
ACVR_1B2B receptor_GDF11	0.96594427244582	0.238390092879257	0.538461538461538	0.833333333333333
ACVR_1B2B receptor_INHBA	1	0.0877192982456141	0	0.333333333333333
ACVR_1B2B receptor_INHBB	0.630030959752322	0.741486068111455	0.538461538461538	0.5
ACVR1_BMPR2_BMP5	0.684210526315789	1	0.0769230769230769	0
ACVR1_BMPR2_BMP6	1	0.315789473684211	0	0.166666666666667
ACVR1_BMPR2_BMP7	1	0.0206398348813209	0	0.5
ACVR_1C2A receptor_INHBA	1	0.0877192982456141	0	0.333333333333333
ACVR_1C2A receptor_INHBB	1	0.315789473684211	0	0.166666666666667
ACVR_1C2B receptor_INHBA	1	0.0877192982456141	0	0.333333333333333
ACVR_1C2B receptor_INHBB	1	0.315789473684211	0	0.166666666666667
ACVR2A_INHBE	0.999484004127967	0.0172858617131063	0.0769230769230769	0.666666666666667
ADCYAP1_ADCYAP1R1	1	1	0	0
ADCYAP1_DPP4	1	0.0877192982456141	0	0.333333333333333
ADCYAP1_VIPR1	1	1	0	0
ADGRL1_NRG1	0.743144626271561	0.652145068553737	0.307692307692308	0.333333333333333
ADGRV1_GPHA2	1	0.0877192982456141	0	0.333333333333333
ADORA1_ENTPD1	1	1	0	0
ADORA2B_ENTPD1	1	1	0	0
ADRB2_VEGFB	1	1	0	0
AGT_AGTR1	1	1	0	0
ALOX5_ALOX5AP	1	1	0	0
ANGPT2_TEK	1	1	0	0
APLNR_APLN	1	1	0	0
ARTN_RET receptor 1	1	1	0	0
ARTN_RET receptor 3	1	1	0	0
AVP_OXTR	1	0.0877192982456141	0	0.333333333333333
