	rho	fdr	rank	percentile
GO_0016055|Wnt receptor signaling pathway	0.41261825845249134	0.0	7796	0.982111363063744
GO_0048863|stem cell differentiation	0.38207108507114657	0.0	7710	0.9712773998488284
BENPORATH_OCT4_TARGETS	0.3466589273387446	0.0	7566	0.9531368102796675
LUNG_SOX2_TSS_HAGEY	0.355137658527257	0.0	7598	0.9571680524061477
GO_REGULATION_OF_BMP_SIGNALING_PATHWAY	0.35593021034632505	0.0	7603	0.9577979339884102
REACTOME_SIGNALING_BY_FGFR1_MUTANTS	0.3627486789764332	0.0	7638	0.9622071050642479
RICKMAN_METASTASIS_UP	0.3805389126610257	0.0	7705	0.9706475182665659
LIAO_METASTASIS	0.38983985025255113	0.0	7740	0.9750566893424036
GO_REGULATION_OF_AXONOGENESIS	0.4359878326205153	0.0	7850	0.9889140841521794
VETTER_TARGETS_OF_PRKCA_AND_ETS1_UP	0.4587332821666268	0.0	7875	0.9920634920634921
CHANDRAN_METASTASIS_UP	0.46332087158885693	0.0	7878	0.9924414210128496
GO_POSITIVE_REGULATION_OF_NEURON_DIFFERENTIATION	0.48828262781981585	0.0	7906	0.9959687578735198
BIOCARTA_PLCE_PATHWAY	0.5222801278536896	0.0	7925	0.9983623078861175
