	rho	fdr	rank	percentile
WIELAND_UP_BY_HBV_INFECTION	-0.5293250584953153	1.0	0	0.0
KEGG_GRAFT_VERSUS_HOST_DISEASE	-0.522693433902059	1.0	1	0.00012597631645250694
GO_0006955|immune response	-0.5183966565997777	1.0	2	0.0002519526329050139
WUNDER_INFLAMMATORY_RESPONSE_AND_CHOLESTEROL_UP	-0.5183751063024082	1.0	3	0.0003779289493575208
KEGG_ALLOGRAFT_REJECTION	-0.5169275469179483	1.0	4	0.0005039052658100278
SHIN_B_CELL_LYMPHOMA_CLUSTER_5	-0.516440967936409	1.0	5	0.0006298815822625346
GO_0019882|antigen processing and presentation	-0.5159840318663369	1.0	6	0.0007558578987150416
KEGG_AUTOIMMUNE_THYROID_DISEASE	-0.5159711371933113	1.0	7	0.0008818342151675485
KIM_LRRC3B_TARGETS	-0.5126852373367499	1.0	8	0.0010078105316200555
GAURNIER_PSMD4_TARGETS	-0.5123835686128183	1.0	9	0.0011337868480725624
HALLMARK_ALLOGRAFT_REJECTION	-0.5024367663883528	1.0	10	0.0012597631645250692
BAUS_TFF2_TARGETS_UP	-0.5000039894804805	1.0	11	0.001385739480977576
BIOCARTA_CTL_PATHWAY	-0.49126797169851044	1.0	12	0.0015117157974300832
REACTOME_ENDOSOMAL_VACUOLAR_PATHWAY	-0.4901503419620884	1.0	13	0.00163769211388259
GO_0048002|antigen processing and presentation of peptide antigen	-0.49000822764271695	1.0	14	0.001763668430335097
KEGG_TYPE_I_DIABETES_MELLITUS	-0.4841739138412594	1.0	15	0.001889644746787604
GO_0002474|antigen processing and presentation of peptide antigen via MHC class I	-0.4781886211295974	1.0	16	0.002015621063240111
KEGG_ARACHIDONIC_ACID_METABOLISM	-0.47471499488803653	1.0	17	0.002141597379692618
KEGG_VIRAL_MYOCARDITIS	-0.4738779853208974	1.0	18	0.0022675736961451248
GO_0051482|elevation of cytosolic calcium ion concentration during G-protein signaling, coupled to IP3 second messenger (phospholipase C activating)	-0.47307013709034235	1.0	19	0.0023935500125976316
NAKAMURA_METASTASIS_MODEL_DN	-0.47096501588690537	1.0	20	0.0025195263290501385
SANA_RESPONSE_TO_IFNG_UP	-0.4684468795297726	1.0	21	0.0026455026455026454
REACTOME_INTERFERON_GAMMA_SIGNALING	-0.4672441222629926	1.0	22	0.002771478961955152
