batch	B cell	CD4+ Tconv	CD4+ Treg	CD8+ Teff	CD8+ Texh	CD8+ Tmem	Mast	Mono/Mφ	NK	Neutrophil	Plasma cell	Tgd	cDC	pDC	"Recurrent
SCLC Cluster"	MHCI	MHCII	SCLC-A	SCLC-N	EMT	axongenesis
PleuralEffusion	0.3083247687564234	45.68345323741007	0.051387461459403906	0.20554984583761562	0.3083247687564234	9.558067831449128	0.0	0.7194244604316548	1.5416238437821173	0.0	0.0	37.15313463514902	2.158273381294964	2.3124357656731758	1.073	-0.5632511483685156	0.05387287812971373	0.8839405262315382	0.11445673546269597	0.6967298053171745	-0.005679105429123441
RU1065C	0.5858028945554791	29.97932460372157	3.066850447966919	1.9641626464507238	1.0337698139214335	39.90351481736733	0.0	8.68366643694004	6.995175740868366	6.995175740868366	0.0	0.03445899379738111	0.7580978635423846	0.0	2.825	-0.36292551996384187	0.010546622473107342	0.7689084313199017	0.17798645908681798	0.9601067247128254	-0.03740265651159887
RU1066	5.934718100890208	32.34421364985163	6.726013847675569	1.7804154302670623	1.2858555885262115	44.11473788328388	0.09891196834817012	3.758654797230465	1.8793273986152326	0.0	0.2967359050445104	0.19782393669634024	0.3956478733926805	1.1869436201780417	0.07200000000000001	0.33020897061010107	0.5514643474270238	0.8930820129853624	0.10298133481039212	0.9952486710535724	-0.0499810547768863
RU1080C	4.0650406504065035	27.371273712737125	2.9810298102981028	2.710027100271003	0.9485094850948509	19.37669376693767	0.13550135501355012	34.010840108401084	1.8970189701897018	4.0650406504065035	0.0	0.0	0.13550135501355012	2.303523035230352	0.034	-0.669292996876947	-0.12368243838954382	0.9734576034649522	0.025006320255767118	0.526115109514724	0.055781584995699914
RU1108a	0.0	3.4965034965034967	10.48951048951049	0.6993006993006993	2.097902097902098	16.783216783216783	0.0	35.66433566433567	30.76923076923077	0.0	0.0	0.0	0.0	0.0	0.018000000000000002	1.2836461498880516	-0.034389370312926645	0.9919281798029722	0.00794407504015906	0.36876973475684055	-0.10699975706144041
RU1124A_LN	4.6303818034118605	22.908204711616573	0.8123476848090982	6.9049553208773355	0.08123476848090982	9.017059301380991	0.487408610885459	5.930138099106418	5.767668562144598	42.64825345247766	0.0	0.0	0.7311129163281885	0.08123476848090982	0.7859999999999999	-0.6079138867713804	-0.05966150516193052	0.9571334284662745	0.0416629691948477	0.6745945214454092	-0.06386061537999983
RU1144_LN	39.96789727126806	16.53290529695024	1.9261637239165328	11.717495987158909	0.16051364365971107	10.914927768860354	0.16051364365971107	11.075441412520064	4.173354735152488	0.9630818619582664	0.16051364365971107	2.086677367576244	0.16051364365971107	0.0	0.0	-0.7196825818271565	0.07080711483820071	0.9512445784257014	0.04480627197283205	0.2903084022874438	0.10190052153876476
RU1144_T	3.932584269662921	28.08988764044944	8.426966292134832	3.3707865168539324	0.5617977528089888	20.224719101123593	6.741573033707865	13.48314606741573	2.8089887640449436	12.359550561797752	0.0	0.0	0.0	0.0	0.249	-0.6763805028080508	-0.025949814988854743	0.9346993665592717	0.06142423668701763	0.4610371331070543	0.11353908329076105
RU1145	4.615384615384616	21.53846153846154	7.863247863247863	1.3675213675213675	2.564102564102564	41.794871794871796	0.4273504273504274	5.555555555555555	10.76923076923077	0.0	0.4273504273504274	0.3418803418803419	1.0256410256410255	1.7094017094017095	0.028999999999999998	-0.039482094804132145	0.4397207913332714	0.9862353217594373	0.01215881208065585	0.658753399290232	-0.0019543182914623066
RU1152	0.945179584120983	32.70321361058601	1.5122873345935728	1.1342155009451798	1.5122873345935728	10.775047258979207	0.0	16.6351606805293	31.001890359168243	1.890359168241966	0.0	0.0	1.1342155009451798	0.7561436672967864	0.20199999999999999	-0.6895095072169737	-0.21294962146087004	0.9591637470039235	0.04018867488334129	1.4873738971743484	0.04558948217366016
