batch	Mo/Mφ_C1	Mo/Mφ_C12	Mo/Mφ_C2	Mo/Mφ_C4	Mo/Mφ_C6	Mo/Mφ_C7	Mo/Mφ_C9	"Recurrent
SCLC Cluster"	MHCI	MHCII	EMT	SCLC-A	SCLC-N	axongenesis
PleuralEffusion	0.0	36.36363636363637	27.27272727272727	27.27272727272727	0.0	0.0	9.090909090909092	1.073	-0.5632511483685156	0.05387287812971373	0.6967298053171745	0.9514952592537932	0.04148272752976576	-0.005679105429123441
RU1065C	68.11023622047244	1.968503937007874	4.724409448818897	10.236220472440944	0.39370078740157477	7.480314960629922	7.086614173228346	2.825	-0.36292551996384187	0.010546622473107342	0.9601067247128254	0.8994810753411877	0.09304662155034225	-0.03740265651159887
RU1066	27.77777777777778	52.77777777777778	2.7777777777777777	2.7777777777777777	13.88888888888889	0.0	0.0	0.07200000000000001	0.33020897061010107	0.5514643474270238	0.9952486710535724	0.8671458107845724	0.13240149605927332	-0.0499810547768863
RU1080C	6.024096385542169	1.2048192771084338	77.10843373493977	6.425702811244979	0.8032128514056224	6.827309236947792	1.6064257028112447	0.034	-0.669292996876947	-0.12368243838954382	0.526115109514724	0.9710512910535197	0.027887545357601438	0.055781584995699914
RU1108a	8.88888888888889	37.77777777777778	6.666666666666667	28.888888888888886	2.2222222222222223	0.0	15.555555555555555	0.018000000000000002	1.2836461498880516	-0.034389370312926645	0.36876973475684055	0.9051632957856268	0.08960002157363127	-0.10699975706144041
RU1124A_LN	14.102564102564102	0.0	5.128205128205128	8.974358974358974	0.0	57.692307692307686	14.102564102564102	0.7859999999999999	-0.6079138867713804	-0.05966150516193052	0.6745945214454092	0.9485374534058604	0.05079083709136324	-0.06386061537999983
RU1144_LN	1.4705882352941175	88.23529411764706	2.941176470588235	2.941176470588235	1.4705882352941175	0.0	2.941176470588235	0.0	-0.7196825818271565	0.07080711483820071	0.2903084022874438	0.9885351191128284	0.010445791961727041	0.10190052153876476
RU1144_T	0.0	8.333333333333332	16.666666666666664	62.5	0.0	12.5	0.0	0.249	-0.6763805028080508	-0.025949814988854743	0.4610371331070543	0.9832123887468646	0.015357973730403037	0.11353908329076105
RU1145	18.64406779661017	62.71186440677966	6.779661016949152	5.084745762711865	0.0	0.0	6.779661016949152	0.028999999999999998	-0.039482094804132145	0.4397207913332714	0.658753399290232	0.9436822650101565	0.05202901566991956	-0.0019543182914623066
RU1152	0.0	5.681818181818182	1.1363636363636365	2.272727272727273	0.0	64.77272727272727	26.136363636363637	0.20199999999999999	-0.6895095072169737	-0.21294962146087004	1.4873738971743484	0.7485812272254113	0.2512136594785275	0.04558948217366016
RU1181B	80.0	0.0	0.0	0.0	0.0	0.0	20.0	1.409	0.06188045936276799	-0.08114676623577755	1.1478406876569516	0.019140730161445747	0.9808046033607652	0.13022384191644568
RU1181C	31.25	3.125	3.125	3.125	0.0	9.375	50.0	0.0	0.12950427638014328	-0.06965685560208187	1.172535414147496	0.005941722108373263	0.9940121825187584	0.11002728255138525
RU1195A	29.72972972972973	0.9009009009009009	2.7027027027027026	6.306306306306306	0.0	49.549549549549546	10.81081081081081	11.6	-0.46513994494194744	0.07475193850411976	0.28826240618988763	0.8835997757414672	0.10232098392646015	0.03703672738893633
RU1215	62.22222222222222	15.555555555555555	8.88888888888889	4.444444444444445	6.666666666666667	0.0	2.2222222222222223	0.535	-0.7255877232487894	-0.14755448310458816	0.530177700320853	0.007965260416081142	0.9915433156379977	0.03800905418231487
RU1229A_Frozen	53.333333333333336	13.333333333333334	0.0	0.0	0.0	26.666666666666668	6.666666666666667	0.32	-0.722610319697208	-0.1071662954870056	0.7978928911241184	0.9573290699436541	0.042595095672856104	-0.018547916584565033
RU1231A	17.5	5.0	2.5	10.0	12.5	30.0	22.5	0.02	-0.3942259988851673	-0.1315419081573096	0.6668719429255466	0.011073601799656167	0.9888600995899876	0.066798469875441
RU1293A	10.179640718562874	1.1976047904191618	6.58682634730539	16.16766467065868	55.688622754491014	8.383233532934131	1.7964071856287425	0.035	-0.11020527425409546	-0.012719873222301715	0.3813580215358897	0.010968290115605371	0.9878238043198324	0.017204020338906504
RU1311A_T_1	0.0	0.0	15.966386554621847	13.445378151260504	70.58823529411765	0.0	0.0	1.379	-0.3302657430482758	-0.061953257475172406	1.016645580428344	0.8814320652709039	0.09802012333345805	-0.022385447868965517
RU426B	36.0655737704918	0.0	1.639344262295082	31.147540983606557	4.918032786885246	21.311475409836063	4.918032786885246	1.892	-0.2858871444021471	-0.13384434357721986	0.7529822416734804	0.9602073846159211	0.035599518476391756	-0.03639920561507276
RU779D	16.091954022988507	0.0	2.2988505747126435	77.01149425287356	0.0	4.597701149425287	0.0	6.019	-0.32431837431481486	0.18962972624351856	0.8562389079962961	0.5451455262553876	0.42343753570798637	0.05532264929814814
